AbilityId,Name,CoverageStatus,EffectId,HasClientCsv,HasClientBin,HasLocalizedName,HasDescriptionText,HasEffectText,HasRootEffectRow,RelatedEffectCount,ComponentCount,RequirementLinkCount,RequirementRowCount,HasPregameReference,SourcesText,MissingText
51,Weapon Mastery,Partial,51,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
52,Sturdy Defender,Partial,52,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
53,Rugged,Partial,53,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
54,Menace,Mapped,54,Yes,Yes,Yes,Yes,No,Yes,7,2,0,0,No,"csv, bin, strings",effect-text
55,Unstoppable Juggernaut,Mapped,55,Yes,Yes,Yes,Yes,No,Yes,3,2,0,0,No,"csv, bin, strings",effect-text
56,Going For Broke,Mapped,56,Yes,Yes,Yes,Yes,No,Yes,7,2,0,0,No,"csv, bin, strings",effect-text
57,Cheap Kick,Mapped,57,Yes,Yes,Yes,Yes,No,Yes,4,3,0,0,No,"csv, bin, strings",effect-text
58,Shield Spikes,Mapped,58,Yes,Yes,Yes,Yes,No,Yes,5,2,0,0,No,"csv, bin, strings",effect-text
59,Flames Of Change,Mapped,59,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
60,Warped Claw,Mapped,60,Yes,Yes,Yes,Yes,No,Yes,20,2,0,0,No,"csv, bin, strings",effect-text
61,Demonic Fire,Mapped,61,Yes,Yes,Yes,Yes,No,Yes,38,2,0,0,No,"csv, bin, strings",effect-text
62,Demonic Consumption,Partial,62,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
63,Warping Energy,Partial,63,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
64,Courscating energy,Partial,64,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
65,Flame Of Tzeentch,Mapped,65,Yes,Yes,Yes,Yes,No,Yes,9,2,0,0,No,"csv, bin, strings",effect-text
66,Flames Of Change,Mapped,66,Yes,Yes,Yes,Yes,No,Yes,9,2,0,0,No,"csv, bin, strings",effect-text
67,QA TEST,Mapped,67,Yes,Yes,Yes,Yes,No,Yes,9,2,0,0,No,"csv, bin, strings",effect-text
68,RVR Chicken Debuff,Mapped,68,Yes,Yes,Yes,Yes,No,Yes,58,2,0,0,No,"csv, bin, strings",effect-text
69,Sprint (All Careers),Partial,69,Yes,No,Yes,Yes,No,Yes,4,0,0,0,No,"csv, strings","bin, effect-text, components"
70,Brute Force,Mapped,70,Yes,Yes,Yes,Yes,No,Yes,3,2,0,0,No,"csv, bin, strings",effect-text
71,Weapon Expertise,Mapped,71,Yes,Yes,Yes,Yes,No,Yes,1,2,0,0,No,"csv, bin, strings",effect-text
72,Flanking,Partial,72,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
73,Invigoration,Partial,73,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
74,Pay No Mind,MappedWithRequirements,74,Yes,Yes,Yes,Yes,No,Yes,2,1,1,1,No,"csv, bin, strings, requirements",effect-text
75,Jagged Edge,Partial,75,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
76,Toughen Up!,Partial,76,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
77,Riposte,Mapped,77,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
78,Dirty Trick,Mapped,78,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
79,(unnamed),Partial,79,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
80,Penetrating Round,Partial,80,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
81,Machine Gun,Mapped,81,Yes,Yes,Yes,Yes,No,Yes,52,2,0,0,No,"csv, bin, strings",effect-text
82,Shock Grenade,Partial,82,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
83,High-Explosive Grenade,Mapped,83,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
84,Flamethrower,Mapped,84,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
85,Steam Vent,Mapped,85,Yes,Yes,Yes,Yes,No,Yes,2,3,0,0,No,"csv, bin, strings",effect-text
86,VFX Anim Bug TEST for Nate,Mapped,86,Yes,Yes,Yes,Yes,No,Yes,10,2,0,0,No,"csv, bin, strings",effect-text
87,Charge,Mapped,87,Yes,Yes,Yes,Yes,No,Yes,7,2,0,0,No,"csv, bin, strings",effect-text
88,Death Effect Icon,Mapped,88,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
89,Monster Knockdown on Knockback VFXs,Mapped,89,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
90,Steady Aim,Partial,90,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
91,Swift Reflexes,Mapped,91,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
92,Expert Skirmisher,Partial,92,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
93,Quick Reload,Partial,93,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
94,Keep Your Distance,Partial,94,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
95,Thigh Shot,Partial,95,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
96,I'll Take You On!,Mapped,96,Yes,Yes,Yes,Yes,Yes,Yes,3,1,0,0,No,"csv, bin, strings",(none)
97,Clever Recovery,MappedWithRequirements,97,Yes,Yes,Yes,Yes,Yes,Yes,3,2,1,1,No,"csv, bin, strings, requirements",(none)
98,Pierce Defenses,Mapped,98,Yes,Yes,Yes,Yes,Yes,Yes,4,1,0,0,No,"csv, bin, strings",(none)
99,Channel Test: Multi Swing,Mapped,99,Yes,Yes,Yes,Yes,Yes,Yes,2,1,0,0,No,"csv, bin, strings",(none)
100,Black Orc Console Test 1,Mapped,100,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
101,Black Orc Console Test 2,Mapped,101,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
102,Black Orc Console Test 3,Mapped,102,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
103,Choppa Console Test 1,Mapped,103,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
104,Immovable,Mapped,104,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
105,Unstoppable,Mapped,105,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
106,Taunt VFX Dummy,Mapped,106,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
107,Juggernaut,Mapped,107,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
108,Push The Line!,Mapped,108,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
109,Book Of Binding,Mapped,109,Yes,Yes,Yes,Yes,Yes,Yes,2,1,0,0,No,"csv, bin, strings",(none)
110,Endless Knowledge,Mapped,110,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
111,Swiftness,Mapped,111,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
112,I Stand Alone,Mapped,112,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
113,Tap The Winds,Mapped,113,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
114,Sleight Of Hand,Mapped,114,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
115,Devour Energy,Mapped,115,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
116,Close Quarters,Mapped,116,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
117,Recover Power,Mapped,117,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
118,Forceful Conduit,Mapped,118,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
119,Magus Console Test 2,Mapped,119,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
120,Magus Console Test 3,Mapped,120,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
121,Bite,Partial,121,Yes,No,Yes,Yes,Yes,Yes,1,0,0,0,No,"csv, strings","bin, components"
122,Claw Sweep,MappedWithRequirements,122,Yes,Yes,Yes,Yes,Yes,Yes,2,2,1,1,No,"csv, bin, strings, requirements",(none)
123,Terrifying Roar,Mapped,123,Yes,Yes,Yes,Yes,Yes,Yes,4,1,0,0,No,"csv, bin, strings",(none)
124,Lion's Roar,MappedWithRequirements,124,Yes,Yes,Yes,Yes,Yes,Yes,2,1,3,3,No,"csv, bin, strings, requirements",(none)
125,Shred,Mapped,125,Yes,Yes,Yes,Yes,Yes,Yes,2,2,0,0,No,"csv, bin, strings",(none)
126,Leg Tear,Partial,126,Yes,No,Yes,Yes,Yes,Yes,1,0,0,0,No,"csv, strings","bin, components"
127,Fang And Claw,MappedWithRequirements,127,Yes,Yes,Yes,Yes,Yes,Yes,2,1,6,6,No,"csv, bin, strings, requirements",(none)
128,Maul,MappedWithRequirements,128,Yes,Yes,Yes,Yes,No,Yes,2,1,6,6,No,"csv, bin, strings, requirements",effect-text
129,Gut Ripper ,MappedWithRequirements,129,Yes,Yes,Yes,Yes,No,Yes,2,1,6,6,No,"csv, bin, strings, requirements",effect-text
130,Infinite Knowledge,MappedWithRequirements,130,Yes,Yes,Yes,Yes,No,Yes,2,1,6,6,No,"csv, bin, strings, requirements",effect-text
131,Divine Fury,MappedWithRequirements,131,Yes,Yes,Yes,Yes,No,Yes,2,1,6,6,No,"csv, bin, strings, requirements",effect-text
132,(unnamed),Partial,132,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
133,Infusion Of Power,Mapped,133,Yes,Yes,Yes,Yes,No,Yes,62,1,0,0,No,"csv, bin, strings",effect-text
134,Subtlety,Partial,134,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
135,Restorative Burst,Partial,135,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
136,Aggressive Focus,Mapped,136,Yes,Yes,Yes,Yes,No,Yes,5,2,0,0,No,"csv, bin, strings",effect-text
137,Reabsorption,Mapped,137,Yes,Yes,Yes,Yes,No,Yes,10,1,0,0,No,"csv, bin, strings",effect-text
138,Discipline,Mapped,138,Yes,Yes,Yes,Yes,No,Yes,29,1,0,0,No,"csv, bin, strings",effect-text
139,Sun Fire Breath,Mapped,139,Yes,Yes,Yes,Yes,No,Yes,7,2,0,0,No,"csv, bin, strings",effect-text
140,Sun Fireball (Small),Mapped,140,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
141,Sun Fireball (AOE),Mapped,141,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
142,Death From Above,Mapped,142,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
143,Spine Fling,Mapped,143,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
144,Poisoned Spine,Mapped,144,Yes,Yes,Yes,Yes,No,Yes,4,3,0,0,No,"csv, bin, strings",effect-text
145,Gore,Partial,145,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
146,Head Butt,Partial,146,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
147,Goop Shootin',Partial,147,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
148,Spore Cloud,Partial,148,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
149,Squig Squeal,Partial,149,Yes,No,Yes,Yes,No,Yes,1,0,0,0,No,"csv, strings","bin, effect-text, components"
150,Demolishing Strike,Mapped,150,Yes,Yes,Yes,Yes,No,Yes,12,1,0,0,No,"csv, bin, strings",effect-text
151,Raze,Mapped,151,Yes,Yes,Yes,Yes,No,Yes,43,1,0,0,No,"csv, bin, strings",effect-text
152,Grapple,Mapped,152,Yes,Yes,Yes,Yes,No,Yes,10,1,0,0,No,"csv, bin, strings",effect-text
153,AT Stun AOE,Partial,153,Yes,Yes,Yes,Yes,No,No,10,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
154,Distracting Below,Mapped,154,Yes,Yes,Yes,Yes,No,Yes,12,1,0,0,No,"csv, bin, strings",effect-text
155,Shield Wall,Mapped,155,Yes,Yes,Yes,Yes,No,Yes,11,1,0,0,No,"csv, bin, strings",effect-text
156,Effect Test,Partial,156,Yes,Yes,Yes,Yes,No,No,3,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
157,Immaculate Defense,Mapped,157,Yes,Yes,Yes,Yes,No,Yes,10,1,0,0,No,"csv, bin, strings",effect-text
158,Pierce,Mapped,158,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
159,Rupture Organ,Mapped,159,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
160,Shatter Will,Mapped,160,Yes,Yes,Yes,Yes,No,Yes,20,1,0,0,No,"csv, bin, strings",effect-text
161,Implacable Resolve,Mapped,161,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
162,Iron Body,Mapped,162,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
163,Pierce,Mapped,163,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
164,Rupture Organ,Mapped,164,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
165,Shatter Will,Mapped,165,Yes,Yes,Yes,Yes,No,Yes,14,1,0,0,No,"csv, bin, strings",effect-text
166,Implacable Resolve,Mapped,166,Yes,Yes,Yes,Yes,No,Yes,16,1,0,0,No,"csv, bin, strings",effect-text
167,Iron Body,Mapped,167,Yes,Yes,Yes,Yes,No,Yes,12,1,0,0,No,"csv, bin, strings",effect-text
168,Test T2R1 Attack,Partial,168,Yes,Yes,Yes,Yes,No,No,3,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
169,Test T2R2 Attack,Partial,169,Yes,Yes,Yes,Yes,No,No,3,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
170,Sever Nerve,Mapped,170,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
171,Force Of Will,Mapped,171,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
172,Broad Swings,Mapped,172,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
173,Frenzied Slaughter,Mapped,173,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
174,Confusing Movements,Mapped,174,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
175,Test T2R8 Attack,Partial,175,Yes,Yes,Yes,Yes,No,No,3,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
176,Relentless Assault,Mapped,176,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
177,Test T2R10 Attack,Partial,177,Yes,Yes,Yes,Yes,No,No,3,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
178,Pierce,Mapped,178,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
179,Rupture Organ,Mapped,179,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
180,Shatter Will,Mapped,180,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
181,Implacable Resolve,Mapped,181,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
182,Iron Body,Mapped,182,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
183,Pierce,Mapped,183,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
184,Rupture Organ,Mapped,184,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
185,Shatter Will,Mapped,185,Yes,Yes,Yes,Yes,No,Yes,47,1,0,0,No,"csv, bin, strings",effect-text
186,Implacable Resolve,Mapped,186,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
187,Iron Body,Mapped,187,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
188,Defense Event test,Partial,188,Yes,Yes,Yes,Yes,No,No,2,2,0,0,No,"csv, bin, strings","effect-text, effect-row"
189,Test T2R5 Ranged Attack,Partial,189,Yes,Yes,Yes,Yes,No,No,3,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
190,Point-Blank,Mapped,190,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
191,Unshakable Focus,Mapped,191,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
192,Explosive Shots,Mapped,192,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
193,Hail Of Doom,Mapped,193,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
194,Concealment,Partial,194,Yes,No,Yes,Yes,No,Yes,2,0,0,0,No,"csv, strings","bin, effect-text, components"
195,Focused Mind,Mapped,195,Yes,Yes,Yes,Yes,No,Yes,5,3,0,0,No,"csv, bin, strings",effect-text
196,Nate's Test Ability Two,Partial,196,Yes,Yes,Yes,Yes,No,No,4,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
197,Nate's Test Ability Three,Partial,197,Yes,Yes,Yes,Yes,No,No,4,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
198,Pierce,Mapped,198,Yes,Yes,Yes,Yes,No,Yes,37,2,0,0,No,"csv, bin, strings",effect-text
199,Rupture Organ,Mapped,199,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
200,Shatter Will,Mapped,200,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
201,Implacable Resolve,Mapped,201,Yes,Yes,Yes,Yes,No,Yes,23,5,0,0,No,"csv, bin, strings",effect-text
202,Iron Body,Mapped,202,Yes,Yes,Yes,Yes,No,Yes,5,1,0,0,No,"csv, bin, strings",effect-text
203,Pierce,Mapped,203,Yes,Yes,Yes,Yes,No,Yes,15,2,0,0,No,"csv, bin, strings",effect-text
204,Rupture Organ,Mapped,204,Yes,Yes,Yes,Yes,No,Yes,18,1,0,0,No,"csv, bin, strings",effect-text
205,Shatter Will,Mapped,205,Yes,Yes,Yes,Yes,No,Yes,21,1,0,0,No,"csv, bin, strings",effect-text
206,Implacable Resolve,Mapped,206,Yes,Yes,Yes,Yes,No,Yes,9,1,0,0,No,"csv, bin, strings",effect-text
207,Iron Body,Mapped,207,Yes,Yes,Yes,Yes,No,Yes,6,1,0,0,No,"csv, bin, strings",effect-text
208,TEST - 120u Ground Decal,Partial,208,Yes,Yes,Yes,Yes,No,No,2,1,0,0,No,"csv, bin, strings","effect-text, effect-row"
209,(unnamed),Partial,209,Yes,No,Yes,Yes,No,No,1,0,0,0,No,"csv, strings","bin, effect-text, effect-row, components"
210,Siphon Power,Mapped,210,Yes,Yes,Yes,Yes,No,Yes,4,1,0,0,No,"csv, bin, strings",effect-text
