RequirementId,FieldKey,NonZeroCount,DistinctValueCount,SampleValues,SemanticSummary,Confidence,Notes
9006,ExtData[1].Val2,1,1,12,,Unknown,
9006,ExtData[1].Val3,1,1,1,,Unknown,
9006,ExtData[1].Val7,1,1,2,,Unknown,
9007,ExtData[0].Val1,1,1,1,,Unknown,
9007,ExtData[0].Val2,1,1,9,,Unknown,
9007,ExtData[0].Val3,1,1,4,,Unknown,
9007,ExtData[0].Val6,1,1,100,,Unknown,
9007,ExtData[0].Val7,1,1,99,,Unknown,
9008,ExtData[0].Val1,1,1,1,,Unknown,
9008,ExtData[0].Val2,1,1,9,,Unknown,
9008,ExtData[0].Val3,1,1,4,,Unknown,
9008,ExtData[0].Val4,1,1,8,,Unknown,
9008,ExtData[0].Val6,1,1,100,,Unknown,
9008,ExtData[0].Val7,1,1,16,,Unknown,
9008,ExtData[1].Val1,1,1,1,,Unknown,
9008,ExtData[1].Val2,1,1,12,,Unknown,
9008,ExtData[1].Val3,1,1,1,,Unknown,
9008,ExtData[1].Val7,1,1,2,,Unknown,
9009,ExtData[0].Val1,1,1,1,,Unknown,
9009,ExtData[0].Val2,1,1,44,,Unknown,
9009,ExtData[0].Val3,1,1,1,,Unknown,
9009,ExtData[0].Val4,1,1,9,,Unknown,
9009,ExtData[0].Val6,1,1,11,,Unknown,
9009,ExtData[0].Val7,1,1,4,,Unknown,
9009,ExtData[1].Val1,1,1,1,,Unknown,
9009,ExtData[1].Val2,1,1,44,,Unknown,
9009,ExtData[1].Val3,1,1,1,,Unknown,
9009,ExtData[1].Val4,1,1,9,,Unknown,
9009,ExtData[1].Val6,1,1,11,,Unknown,
9009,ExtData[1].Val7,1,1,5,,Unknown,
9009,ExtData[2].Val1,1,1,1,,Unknown,
9009,ExtData[2].Val2,1,1,44,,Unknown,
9009,ExtData[2].Val3,1,1,1,,Unknown,
9009,ExtData[2].Val6,1,1,11,,Unknown,
9009,ExtData[2].Val7,1,1,10,,Unknown,
9010,ExtData[0].Val1,1,1,1,,Unknown,
9010,ExtData[0].Val2,1,1,86,,Unknown,
9010,ExtData[0].Val3,1,1,1,,Unknown,
9010,ExtData[0].Val7,1,1,3,,Unknown,
9011,ExtData[0].Val1,1,1,1,,Unknown,
9011,ExtData[0].Val2,1,1,86,,Unknown,
9011,ExtData[0].Val3,1,1,1,,Unknown,
9011,ExtData[0].Val7,1,1,1,,Unknown,
9012,ExtData[0].Val1,1,1,1,,Unknown,
9012,ExtData[0].Val2,1,1,86,,Unknown,
9012,ExtData[0].Val3,1,1,1,,Unknown,
9012,ExtData[0].Val7,1,1,2,,Unknown,
9013,ExtData[0].Val1,1,1,1,,Unknown,
9013,ExtData[0].Val2,1,1,1,,Unknown,
9013,ExtData[0].Val3,1,1,1,,Unknown,
9013,ExtData[0].Val4,1,1,8,,Unknown,
9013,ExtData[0].Val7,1,1,1,,Unknown,
9013,ExtData[1].Val1,1,1,1,,Unknown,
9013,ExtData[1].Val2,1,1,4,,Unknown,
9013,ExtData[1].Val3,1,1,4,,Unknown,
9013,ExtData[1].Val7,1,1,480,,Unknown,
9014,ExtData[0].Val1,1,1,1,,Unknown,
9014,ExtData[0].Val2,1,1,6,,Unknown,
9014,ExtData[0].Val3,1,1,3,,Unknown,
9014,ExtData[0].Val4,1,1,8,,Unknown,
9014,ExtData[0].Val6,1,1,50,,Unknown,
9014,ExtData[0].Val7,1,1,7,,Unknown,
9014,ExtData[1].Val1,1,1,1,,Unknown,
9014,ExtData[1].Val2,1,1,6,,Unknown,
9014,ExtData[1].Val3,1,1,1,,Unknown,
9014,ExtData[1].Val6,1,1,51,,Unknown,
9014,ExtData[1].Val7,1,1,1,,Unknown,
9015,ExtData[0].Val1,1,1,1,,Unknown,
9015,ExtData[0].Val2,1,1,11,,Unknown,
9015,ExtData[0].Val3,1,1,1,,Unknown,
9015,ExtData[0].Val4,1,1,9,,Unknown,
9015,ExtData[0].Val5,1,1,3,,Unknown,
9015,ExtData[1].Val1,1,1,1,,Unknown,
9015,ExtData[1].Val2,1,1,6,,Unknown,
9015,ExtData[1].Val3,1,1,6,,Unknown,
9015,ExtData[1].Val5,1,1,3,,Unknown,
9015,ExtData[1].Val6,1,1,82,,Unknown,
9016,ExtData[0].Val1,1,1,1,,Unknown,
9016,ExtData[0].Val2,1,1,21,,Unknown,
9016,ExtData[0].Val3,1,1,6,,Unknown,
9016,ExtData[0].Val4,1,1,9,,Unknown,
9016,ExtData[0].Val7,1,1,1,,Unknown,
9016,ExtData[1].Val1,1,1,1,,Unknown,
9016,ExtData[1].Val2,1,1,6,,Unknown,
9016,ExtData[1].Val3,1,1,1,,Unknown,
9016,ExtData[1].Val6,1,1,237,,Unknown,
9016,ExtData[1].Val7,1,1,1,,Unknown,
9017,ExtData[0].Val1,1,1,1,,Unknown,
9017,ExtData[0].Val2,1,1,6,,Unknown,
9017,ExtData[0].Val3,1,1,1,,Unknown,
9017,ExtData[0].Val4,1,1,8,,Unknown,
9017,ExtData[0].Val5,1,1,1,,Unknown,
9017,ExtData[0].Val6,1,1,60,,Unknown,
9017,ExtData[1].Val1,1,1,1,,Unknown,
9017,ExtData[1].Val2,1,1,6,,Unknown,
9017,ExtData[1].Val3,1,1,1,,Unknown,
9017,ExtData[1].Val5,1,1,1,,Unknown,
9017,ExtData[1].Val6,1,1,61,,Unknown,
9017,ExtData[1].Val7,1,1,1,,Unknown,
9018,ExtData[0].Val1,1,1,1,,Unknown,
9018,ExtData[0].Val2,1,1,6,,Unknown,
9018,ExtData[0].Val3,1,1,4,,Unknown,
9018,ExtData[0].Val5,1,1,1,,Unknown,
9018,ExtData[0].Val6,1,1,60,,Unknown,
9018,ExtData[0].Val7,1,1,2,,Unknown,
9019,ExtData[0].Val1,1,1,1,,Unknown,
9019,ExtData[0].Val2,1,1,10,,Unknown,
9019,ExtData[0].Val3,1,1,1,,Unknown,
9019,ExtData[0].Val4,1,1,9,,Unknown,
9019,ExtData[0].Val6,1,1,9015,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9015.
9019,ExtData[0].Val7,1,1,1,,Unknown,
9019,ExtData[1].Val1,1,1,1,,Unknown,
9019,ExtData[1].Val2,1,1,10,,Unknown,
9019,ExtData[1].Val3,1,1,1,,Unknown,
9019,ExtData[1].Val4,1,1,9,,Unknown,
9019,ExtData[1].Val6,1,1,9016,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9016.
9019,ExtData[1].Val7,1,1,1,,Unknown,
9019,ExtData[2].Val1,1,1,1,,Unknown,
9019,ExtData[2].Val2,1,1,10,,Unknown,
9019,ExtData[2].Val3,1,1,1,,Unknown,
9019,ExtData[2].Val6,1,1,9017,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9017.
9019,ExtData[2].Val7,1,1,1,,Unknown,
9020,ExtData[0].Val1,1,1,1,,Unknown,
9020,ExtData[0].Val2,1,1,13,,Unknown,
9020,ExtData[0].Val3,1,1,1,,Unknown,
9020,ExtData[0].Val7,1,1,12,,Unknown,
9021,ExtData[0].Val1,1,1,1,,Unknown,
9021,ExtData[0].Val2,1,1,6,,Unknown,
9021,ExtData[0].Val3,1,1,5,,Unknown,
9021,ExtData[0].Val5,1,1,1,,Unknown,
9021,ExtData[0].Val6,1,1,60,,Unknown,
9021,ExtData[0].Val7,1,1,2,,Unknown,
9022,ExtData[0].Val1,1,1,1,,Unknown,
9022,ExtData[0].Val2,1,1,6,,Unknown,
9022,ExtData[0].Val3,1,1,1,,Unknown,
9022,ExtData[0].Val4,1,1,8,,Unknown,
9022,ExtData[0].Val5,1,1,1,,Unknown,
9022,ExtData[0].Val6,1,1,60,,Unknown,
9022,ExtData[0].Val7,1,1,1,,Unknown,
9022,ExtData[1].Val1,1,1,1,,Unknown,
9022,ExtData[1].Val2,1,1,6,,Unknown,
9022,ExtData[1].Val3,1,1,1,,Unknown,
9022,ExtData[1].Val5,1,1,1,,Unknown,
9022,ExtData[1].Val6,1,1,61,,Unknown,
9022,ExtData[1].Val7,1,1,1,,Unknown,
9023,ExtData[0].Val1,1,1,1,,Unknown,
9023,ExtData[0].Val2,1,1,6,,Unknown,
9023,ExtData[0].Val3,1,1,5,,Unknown,
9023,ExtData[0].Val5,1,1,1,,Unknown,
9023,ExtData[0].Val6,1,1,61,,Unknown,
9023,ExtData[0].Val7,1,1,2,,Unknown,
9024,ExtData[0].Val1,1,1,1,,Unknown,
9024,ExtData[0].Val2,1,1,8,,Unknown,
9024,ExtData[0].Val3,1,1,1,,Unknown,
9024,ExtData[0].Val6,1,1,62,,Unknown,
9024,ExtData[0].Val7,1,1,1,,Unknown,
9025,ExtData[0].Val1,1,1,1,,Unknown,
9025,ExtData[0].Val2,1,1,8,,Unknown,
9025,ExtData[0].Val3,1,1,1,,Unknown,
9025,ExtData[0].Val6,1,1,63,,Unknown,
9025,ExtData[0].Val7,1,1,1,,Unknown,
9026,ExtData[0].Val1,1,1,1,,Unknown,
9026,ExtData[0].Val2,1,1,10,,Unknown,
9026,ExtData[0].Val3,1,1,1,,Unknown,
9026,ExtData[0].Val4,1,1,9,,Unknown,
9026,ExtData[0].Val6,1,1,9021,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9021.
9026,ExtData[0].Val7,1,1,1,,Unknown,
9026,ExtData[1].Val1,1,1,1,,Unknown,
9026,ExtData[1].Val2,1,1,10,,Unknown,
9026,ExtData[1].Val3,1,1,1,,Unknown,
9026,ExtData[1].Val4,1,1,9,,Unknown,
9026,ExtData[1].Val6,1,1,9022,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9022.
9026,ExtData[1].Val7,1,1,1,,Unknown,
9026,ExtData[2].Val1,1,1,1,,Unknown,
9026,ExtData[2].Val2,1,1,10,,Unknown,
9026,ExtData[2].Val3,1,1,1,,Unknown,
9026,ExtData[2].Val6,1,1,9023,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9023.
9026,ExtData[2].Val7,1,1,1,,Unknown,
9027,ExtData[0].Val1,1,1,1,,Unknown,
9027,ExtData[0].Val2,1,1,10,,Unknown,
9027,ExtData[0].Val3,1,1,1,,Unknown,
9027,ExtData[0].Val4,1,1,8,,Unknown,
9027,ExtData[0].Val6,1,1,9024,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9024.
9027,ExtData[0].Val7,1,1,1,,Unknown,
9027,ExtData[1].Val1,1,1,1,,Unknown,
9027,ExtData[1].Val2,1,1,10,,Unknown,
9027,ExtData[1].Val3,1,1,1,,Unknown,
9027,ExtData[1].Val6,1,1,9026,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9026.
9027,ExtData[1].Val7,1,1,1,,Unknown,
9028,ExtData[0].Val1,1,1,1,,Unknown,
9028,ExtData[0].Val2,1,1,8,,Unknown,
9028,ExtData[0].Val3,1,1,6,,Unknown,
9028,ExtData[0].Val4,1,1,9,,Unknown,
9028,ExtData[0].Val6,1,1,14,,Unknown,
9028,ExtData[1].Val1,1,1,1,,Unknown,
9028,ExtData[1].Val2,1,1,8,,Unknown,
9028,ExtData[1].Val3,1,1,6,,Unknown,
9028,ExtData[1].Val4,1,1,9,,Unknown,
9028,ExtData[1].Val6,1,1,24,,Unknown,
9028,ExtData[2].Val1,1,1,1,,Unknown,
9028,ExtData[2].Val2,1,1,8,,Unknown,
9028,ExtData[2].Val3,1,1,6,,Unknown,
9028,ExtData[2].Val6,1,1,19,,Unknown,
9029,ExtData[0].Val1,1,1,1,,Unknown,
9029,ExtData[0].Val2,1,1,86,,Unknown,
9029,ExtData[0].Val3,1,1,1,,Unknown,
9029,ExtData[0].Val7,1,1,22,,Unknown,
9030,ExtData[0].Val1,1,1,1,,Unknown,
9030,ExtData[0].Val2,1,1,4,,Unknown,
9030,ExtData[0].Val3,1,1,4,,Unknown,
9030,ExtData[0].Val4,1,1,8,,Unknown,
9030,ExtData[0].Val7,1,1,750,,Unknown,
9030,ExtData[1].Val1,1,1,1,,Unknown,
9030,ExtData[1].Val2,1,1,1,,Unknown,
9030,ExtData[1].Val3,1,1,1,,Unknown,
9030,ExtData[1].Val4,1,1,8,,Unknown,
9030,ExtData[1].Val7,1,1,1,,Unknown,
9030,ExtData[2].Val1,1,1,1,,Unknown,
9030,ExtData[2].Val2,1,1,18,,Unknown,
9030,ExtData[2].Val3,1,1,4,,Unknown,
9030,ExtData[2].Val7,1,1,25,,Unknown,
9031,ExtData[0].Val1,1,1,1,,Unknown,
9031,ExtData[0].Val2,1,1,3,,Unknown,
9031,ExtData[0].Val3,1,1,3,,Unknown,
9031,ExtData[0].Val4,1,1,9,,Unknown,
9031,ExtData[0].Val6,1,1,59,,Unknown,
9031,ExtData[0].Val7,1,1,10,,Unknown,
9031,ExtData[1].Val1,1,1,1,,Unknown,
9031,ExtData[1].Val2,1,1,10,,Unknown,
9031,ExtData[1].Val3,1,1,6,,Unknown,
9031,ExtData[1].Val6,1,1,9052,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9052.
9032,ExtData[0].Val1,1,1,1,,Unknown,
9032,ExtData[0].Val2,1,1,6,,Unknown,
9032,ExtData[0].Val3,1,1,1,,Unknown,
9032,ExtData[0].Val6,1,1,60,,Unknown,
9032,ExtData[0].Val7,1,1,2,,Unknown,
9033,ExtData[0].Val1,1,1,1,,Unknown,
9033,ExtData[0].Val2,1,1,6,,Unknown,
9033,ExtData[0].Val3,1,1,1,,Unknown,
9033,ExtData[0].Val4,1,1,8,,Unknown,
9033,ExtData[0].Val6,1,1,60,,Unknown,
9033,ExtData[0].Val7,1,1,1,,Unknown,
9033,ExtData[1].Val1,1,1,1,,Unknown,
9033,ExtData[1].Val2,1,1,6,,Unknown,
9033,ExtData[1].Val3,1,1,1,,Unknown,
9033,ExtData[1].Val6,1,1,61,,Unknown,
9033,ExtData[1].Val7,1,1,1,,Unknown,
9034,ExtData[0].Val1,1,1,1,,Unknown,
9034,ExtData[0].Val2,1,1,6,,Unknown,
9034,ExtData[0].Val3,1,1,1,,Unknown,
9034,ExtData[0].Val6,1,1,61,,Unknown,
9034,ExtData[0].Val7,1,1,2,,Unknown,
9035,ExtData[0].Val1,1,1,1,,Unknown,
9035,ExtData[0].Val2,1,1,10,,Unknown,
9035,ExtData[0].Val3,1,1,1,,Unknown,
9035,ExtData[0].Val4,1,1,9,,Unknown,
9035,ExtData[0].Val6,1,1,9032,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9032.
9035,ExtData[0].Val7,1,1,1,,Unknown,
9035,ExtData[1].Val1,1,1,1,,Unknown,
9035,ExtData[1].Val2,1,1,10,,Unknown,
9035,ExtData[1].Val3,1,1,1,,Unknown,
9035,ExtData[1].Val4,1,1,9,,Unknown,
9035,ExtData[1].Val6,1,1,9033,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9033.
9035,ExtData[1].Val7,1,1,1,,Unknown,
9035,ExtData[2].Val1,1,1,1,,Unknown,
9035,ExtData[2].Val2,1,1,10,,Unknown,
9035,ExtData[2].Val3,1,1,1,,Unknown,
9035,ExtData[2].Val4,1,1,9,,Unknown,
9035,ExtData[2].Val6,1,1,9034,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9034.
9035,ExtData[2].Val7,1,1,1,,Unknown,
9036,ExtData[0].Val1,1,1,1,,Unknown,
9036,ExtData[0].Val2,1,1,44,,Unknown,
9036,ExtData[0].Val3,1,1,1,,Unknown,
9036,ExtData[0].Val4,1,1,9,,Unknown,
9036,ExtData[0].Val6,1,1,10,,Unknown,
9036,ExtData[0].Val7,1,1,1,,Unknown,
9036,ExtData[1].Val1,1,1,1,,Unknown,
9036,ExtData[1].Val2,1,1,44,,Unknown,
9036,ExtData[1].Val3,1,1,1,,Unknown,
9036,ExtData[1].Val4,1,1,9,,Unknown,
9036,ExtData[1].Val6,1,1,10,,Unknown,
9036,ExtData[1].Val7,1,1,2,,Unknown,
9036,ExtData[2].Val1,1,1,1,,Unknown,
9036,ExtData[2].Val2,1,1,44,,Unknown,
9036,ExtData[2].Val3,1,1,1,,Unknown,
9036,ExtData[2].Val4,1,1,9,,Unknown,
9036,ExtData[2].Val6,1,1,10,,Unknown,
9036,ExtData[2].Val7,1,1,3,,Unknown,
9036,ExtData[3].Val1,1,1,1,,Unknown,
9036,ExtData[3].Val2,1,1,44,,Unknown,
9036,ExtData[3].Val3,1,1,1,,Unknown,
9036,ExtData[3].Val4,1,1,9,,Unknown,
9036,ExtData[3].Val6,1,1,10,,Unknown,
9036,ExtData[3].Val7,1,1,12,,Unknown,
9036,ExtData[4].Val1,1,1,1,,Unknown,
9036,ExtData[4].Val2,1,1,44,,Unknown,
9036,ExtData[4].Val3,1,1,1,,Unknown,
9036,ExtData[4].Val4,1,1,9,,Unknown,
9036,ExtData[4].Val6,1,1,10,,Unknown,
9036,ExtData[4].Val7,1,1,14,,Unknown,
9036,ExtData[5].Val1,1,1,1,,Unknown,
9036,ExtData[5].Val2,1,1,44,,Unknown,
9036,ExtData[5].Val3,1,1,1,,Unknown,
9036,ExtData[5].Val6,1,1,10,,Unknown,
9036,ExtData[5].Val7,1,1,15,,Unknown,
9037,ExtData[0].Val1,1,1,1,,Unknown,
9037,ExtData[0].Val2,1,1,44,,Unknown,
9037,ExtData[0].Val3,1,1,1,,Unknown,
9037,ExtData[0].Val4,1,1,9,,Unknown,
9037,ExtData[0].Val6,1,1,11,,Unknown,
9037,ExtData[0].Val7,1,1,1,,Unknown,
9037,ExtData[1].Val1,1,1,1,,Unknown,
9037,ExtData[1].Val2,1,1,44,,Unknown,
9037,ExtData[1].Val3,1,1,1,,Unknown,
9037,ExtData[1].Val4,1,1,9,,Unknown,
9037,ExtData[1].Val6,1,1,11,,Unknown,
9037,ExtData[1].Val7,1,1,2,,Unknown,
9037,ExtData[2].Val1,1,1,1,,Unknown,
9037,ExtData[2].Val2,1,1,44,,Unknown,
9037,ExtData[2].Val3,1,1,1,,Unknown,
9037,ExtData[2].Val4,1,1,9,,Unknown,
9037,ExtData[2].Val6,1,1,11,,Unknown,
9037,ExtData[2].Val7,1,1,3,,Unknown,
9037,ExtData[3].Val1,1,1,1,,Unknown,
9037,ExtData[3].Val2,1,1,44,,Unknown,
9037,ExtData[3].Val3,1,1,1,,Unknown,
9037,ExtData[3].Val4,1,1,9,,Unknown,
9037,ExtData[3].Val6,1,1,11,,Unknown,
9037,ExtData[3].Val7,1,1,12,,Unknown,
9037,ExtData[4].Val1,1,1,1,,Unknown,
9037,ExtData[4].Val2,1,1,44,,Unknown,
9037,ExtData[4].Val3,1,1,1,,Unknown,
9037,ExtData[4].Val4,1,1,9,,Unknown,
9037,ExtData[4].Val6,1,1,11,,Unknown,
9037,ExtData[4].Val7,1,1,14,,Unknown,
9037,ExtData[5].Val1,1,1,1,,Unknown,
9037,ExtData[5].Val2,1,1,44,,Unknown,
9037,ExtData[5].Val3,1,1,1,,Unknown,
9037,ExtData[5].Val6,1,1,11,,Unknown,
9037,ExtData[5].Val7,1,1,15,,Unknown,
9038,ExtData[0].Val1,1,1,1,,Unknown,
9038,ExtData[0].Val2,1,1,10,,Unknown,
9038,ExtData[0].Val3,1,1,1,,Unknown,
9038,ExtData[0].Val4,1,1,8,,Unknown,
9038,ExtData[0].Val6,1,1,9036,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9036.
9038,ExtData[0].Val7,1,1,1,,Unknown,
9038,ExtData[1].Val1,1,1,1,,Unknown,
9038,ExtData[1].Val2,1,1,10,,Unknown,
9038,ExtData[1].Val3,1,1,1,,Unknown,
9038,ExtData[1].Val6,1,1,9037,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9037.
9038,ExtData[1].Val7,1,1,1,,Unknown,
9039,ExtData[0].Val1,1,1,1,,Unknown,
9039,ExtData[0].Val2,1,1,6,,Unknown,
9039,ExtData[0].Val3,1,1,6,,Unknown,
9039,ExtData[0].Val4,1,1,8,,Unknown,
9039,ExtData[0].Val6,1,1,77,,Unknown,
9039,ExtData[1].Val1,1,1,1,,Unknown,
9039,ExtData[1].Val2,1,1,6,,Unknown,
9039,ExtData[1].Val3,1,1,1,,Unknown,
9039,ExtData[1].Val6,1,1,78,,Unknown,
9040,ExtData[0].Val1,1,1,1,,Unknown,
9040,ExtData[0].Val2,1,1,6,,Unknown,
9040,ExtData[0].Val3,1,1,6,,Unknown,
9040,ExtData[0].Val6,1,1,78,,Unknown,
9041,ExtData[0].Val1,1,1,1,,Unknown,
9041,ExtData[0].Val2,1,1,6,,Unknown,
9041,ExtData[0].Val3,1,1,1,,Unknown,
9041,ExtData[0].Val4,1,1,8,,Unknown,
9041,ExtData[0].Val6,1,1,77,,Unknown,
9041,ExtData[1].Val1,1,1,1,,Unknown,
9041,ExtData[1].Val2,1,1,6,,Unknown,
9041,ExtData[1].Val3,1,1,1,,Unknown,
9041,ExtData[1].Val6,1,1,78,,Unknown,
9042,ExtData[0].Val1,1,1,1,,Unknown,
9042,ExtData[0].Val2,1,1,6,,Unknown,
9042,ExtData[0].Val3,1,1,1,,Unknown,
9042,ExtData[0].Val4,1,1,8,,Unknown,
9042,ExtData[0].Val6,1,1,79,,Unknown,
9043,ExtData[0].Val1,1,1,1,,Unknown,
9043,ExtData[0].Val2,1,1,6,,Unknown,
9043,ExtData[0].Val3,1,1,1,,Unknown,
9043,ExtData[0].Val4,1,1,8,,Unknown,
9043,ExtData[0].Val6,1,1,70,,Unknown,
9043,ExtData[1].Val1,1,1,1,,Unknown,
9043,ExtData[1].Val2,1,1,6,,Unknown,
9043,ExtData[1].Val3,1,1,1,,Unknown,
9043,ExtData[1].Val6,1,1,76,,Unknown,
9044,ExtData[0].Val1,1,1,1,,Unknown,
9044,ExtData[0].Val2,1,1,6,,Unknown,
9044,ExtData[0].Val3,1,1,4,,Unknown,
9044,ExtData[0].Val4,1,1,8,,Unknown,
9044,ExtData[0].Val6,1,1,70,,Unknown,
9044,ExtData[0].Val7,1,1,2,,Unknown,
9044,ExtData[1].Val1,1,1,1,,Unknown,
9044,ExtData[1].Val2,1,1,6,,Unknown,
9044,ExtData[1].Val3,1,1,1,,Unknown,
9044,ExtData[1].Val6,1,1,76,,Unknown,
9044,ExtData[1].Val7,1,1,1,,Unknown,
9045,ExtData[0].Val1,1,1,1,,Unknown,
9045,ExtData[0].Val2,1,1,10,,Unknown,
9045,ExtData[0].Val3,1,1,1,,Unknown,
9045,ExtData[0].Val4,1,1,9,,Unknown,
9045,ExtData[0].Val6,1,1,9043,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9043.
9045,ExtData[0].Val7,1,1,1,,Unknown,
9045,ExtData[1].Val1,1,1,1,,Unknown,
9045,ExtData[1].Val2,1,1,10,,Unknown,
9045,ExtData[1].Val3,1,1,1,,Unknown,
9045,ExtData[1].Val6,1,1,9044,Every distinct observed value in this field matches a known RequirementId row.,Inferred,Example requirement ids: 9044.
9045,ExtData[1].Val7,1,1,1,,Unknown,
9046,ExtData[0].Val1,1,1,1,,Unknown,
9046,ExtData[0].Val2,1,1,4,,Unknown,
9046,ExtData[0].Val3,1,1,4,,Unknown,
9046,ExtData[0].Val4,1,1,8,,Unknown,
9046,ExtData[0].Val7,1,1,360,,Unknown,
9046,ExtData[1].Val1,1,1,1,,Unknown,
9046,ExtData[1].Val2,1,1,1,,Unknown,
9046,ExtData[1].Val3,1,1,1,,Unknown,
9046,ExtData[1].Val4,1,1,8,,Unknown,
9046,ExtData[1].Val7,1,1,1,,Unknown,
9047,ExtData[0].Val1,1,1,1,,Unknown,
9047,ExtData[0].Val2,1,1,8,,Unknown,
9047,ExtData[0].Val3,1,1,6,,Unknown,
9047,ExtData[0].Val4,1,1,9,,Unknown,
9047,ExtData[0].Val6,1,1,17,,Unknown,
9047,ExtData[1].Val1,1,1,1,,Unknown,
9047,ExtData[1].Val2,1,1,8,,Unknown,
9047,ExtData[1].Val3,1,1,6,,Unknown,
9047,ExtData[1].Val4,1,1,8,,Unknown,
9047,ExtData[1].Val6,1,1,24,,Unknown,
9048,ExtData[0].Val1,1,1,1,,Unknown,
9048,ExtData[0].Val2,1,1,3,,Unknown,
9048,ExtData[0].Val3,1,1,7,,Unknown,
9048,ExtData[0].Val4,1,1,11,,Unknown,
9048,ExtData[0].Val6,1,1,81,,Unknown,
9048,ExtData[1].Val1,1,1,1,,Unknown,
9048,ExtData[1].Val2,1,1,3,,Unknown,
9048,ExtData[1].Val3,1,1,7,,Unknown,
9048,ExtData[1].Val6,1,1,83,,Unknown,
9049,ExtData[0].Val1,1,1,1,,Unknown,
9049,ExtData[0].Val2,1,1,3,,Unknown,
9049,ExtData[0].Val3,1,1,7,,Unknown,
9049,ExtData[0].Val4,1,1,11,,Unknown,
9049,ExtData[0].Val6,1,1,82,,Unknown,
9049,ExtData[1].Val1,1,1,1,,Unknown,
9049,ExtData[1].Val2,1,1,3,,Unknown,
9049,ExtData[1].Val3,1,1,7,,Unknown,
9049,ExtData[1].Val6,1,1,84,,Unknown,
9050,ExtData[0].Val1,1,1,1,,Unknown,
9050,ExtData[0].Val2,1,1,3,,Unknown,
9050,ExtData[0].Val3,1,1,7,,Unknown,
9050,ExtData[0].Val4,1,1,11,,Unknown,
9050,ExtData[0].Val6,1,1,81,,Unknown,
