Effect List,Effect List,Effect,Effect,Effect,Effect,Effect,Effect,Effect,Effect,,,,,
140,vfx_RUNE_FlashRingStriking_orn,131,,,,,,,,,,,,
141,vfx_RUNE_ArcsRingFlakksons_blu,132,,,,,,,,,,,,
142,vfx_RUNE_ArcsRingFury_blu,133,74,108,,,,,,,,,,
143,Dwarf Cast with Dirt,74,108,158,,,,,,,,,,
144,vfx_RUNE_StoneSpellbreaking_blu,134,103,,,,,,,,,,,
145,vfx_RUNE_BlurInMight_blu,135,102,,,,,,,,,,,
146,vfx_RUNE_SolarRingSmelting,136,123,,,,,,,,,,,
147,vfx_RUNE_StoneLife_blu,137,,,,,,,,,,,,
148,vfx_ELEC_ArcBall,138,,,,,,,,,,,,
149,vfx_ELEC_ArcFlashSparks,139,,,,,,,,,,,,
150,vfx_ELEC_ZapCloud,140,,,,,,,,,,,,
;,151 CAST_EM_RedAura,,,,,,,,,,,,,
152,Magic Auto,139,124,,,,,,,,,,,
153,Cone blast of cold ,226,,,,,,,,,,,,
154,Cone blast of Slime ,227,,,,,,,,,,,,
155,Cone Cloud of Pioson,228,,,,,,,,,,,,
156,Cone blast of Fire,229,,,,,,,,,,,,
;,157 CAST_EM_GoldAura,,,,,,,,,,,,,
;,158 CAST_EM_BlueAura,,,,,,,,,,,,,
;,159,,,,,,,,,,,,,
160,vfx_Weapontrail_White,155,,,,,,,,,,,,
161,vfx_Weapontrail_yellow,156,,,,,,,,,,,,
162,vfx_Weapontrail_red,157,,,,,,,,,,,,
163,vfx_ELEC_ArcBallFlash,158,,,,,,,,,,,,
164,Sound Wave effect for Bats,159,,,,,,,,,,,,
165,vfx_ELEC_Lightning,160,139,,,,,,,,,,,
;,166,,,,,,,,,,,,,
167,Cone blast of Slime ,162,,,,,,,,,,,,
168,Cone Cloud of Poison,163,,,,,,,,,,,,
169,Projectile for Darkness wind,164,,,,,,,,,,,,
170,Cone blast of Fire,165,,,,,,,,,,,,
171,Soul Leaving a body,166,,,,,,,,,,,,
172,small Rock Projectile,167,,,,,,,,,,,,
173,Root (life magic. Real roots),168,,,,,,,,,,,,
174,Roots Retract into ground,169,,,,,,,,,,,,
175,Wind & leaves Blow around(AOE Life),170,,,,,,,,,,,,
176,Root whip attack (DD life),171,,,,,,,,,,,,
;,177,,,,,,,,,,,,,
178,Place holder for effects not done,70,173,,,,,,,,,,,
179,vfx_EART_Impact2,177,,,,,,,,,,,,
180,Stone or Dirt Impact,178,,,,,,,,,,,,
181,Wind AE Attack (wing Buffet),179,,,,,,,,,,,,
182,Web Glob Projectile,180,,,,,,,,,,,,
183,Web Impact,181,,,,,,,,,,,,
184,Poison Glob Spit from a creature,182,,,,,,,,,,,,
185,Poison Glob Impact,183,,,,,,,,,,,,
186,Med fire with smoke,267,,,,,,,,,,,,
187,A melee hit from claws,185,,,,,,,,,,,,
188,A  white shock  wave on the ground with a dirt blast,186,108,,,,,,,,,,,
;,189 Aura_EM_Flare_Gold,,,,,,,,,,,,,
190,Call for help,188,,,,,,,,,,,,
191,Aoe quill attack,189,,,,,,,,,,,,
192,BUFF  for Initiative,190,65,,,,,,,,,,,
193,BUFF  for intelligence,191,65,,,,,,,,,,,
194,BUFF  for strength,192,65,,,,,,,,,,,
195,BUFF  for toughness,193,65,,,,,,,,,,,
196,BUFF  for weapon skill,194,65,,,,,,,,,,,
;,197 Aura_EM_Flare_Red,,,,,,,,,,,,,
;,198 Aura_EM_Flare_Blue,,,,,,,,,,,,,
;,199,,,,,,,,,,,,,
200,BUFF icon for ballistic skill,198,65,,,,,,,,,,,
;,201,,,,,,,,,,,,,
202,deBUFF  for strength,200,119,,,,,,,,,,,
;,203,,,,,,,,,,,,,
;,204,,,,,,,,,,,,,
205,deBUFF  for willpower,203,119,,,,,,,,,,,
;,206,,,,,,,,,,,,,
207,deBUFF  for agility,205,119,,,,,,,,,,,
;,208,,,,,,,,,,,,,
209,deBUFF  for Initiative,207,119,,,,,,,,,,,
210,deBUFF  for intelligence,208,119,,,,,,,,,,,
211,Multiple impacts hitting a target fast,209,,,,,,,,,,,,
212,Bullet for gun Projectile,210,,,,,,,,,,,,
213,Aoe cloud of attacking SQUIGS,211,,,,,,,,,,,,
214,vfx_OPTI_3XShockRings1_blu,212,,,,,,,,,,,,
;,215,,,,,,,,,,,,,
216,morale big impact,213,,,,,,,,,,,,
217,morale big blood impact,214,,,,,,,,,,,,
218,morale big blood impact,213,107,,,,,,,,,,,
219,vfx_BUFF_Or_RageGather,215,,,,,,,,,,,,
220,vfx_BUFF_Or_WaaaghGather,216,,,,,,,,,,,,
221,orc heal,10,62,,,,,,,,,,,
;,222,,,,,,,,,,,,,
223,Webbing root around legs,217,,,,,,,,,,,,
224,Swirl of darkness magic,218,,,,,,,,,,,,
225,Dwarf Magic resist Proc,66,134,,,,,,,,,,,
;,226,,,,,,,,,,,,,
227,Dwarf remove buff blast,139,119,,,,,,,,,,,
228,vfx_BUFF_Or_MeleeGather,219,,,,,,,,,,,,
;,229,,,,,,,,,,,,,
230,Throwing Axe Projectile,221,,,,,,,,,,,,
231,Throwing Hammer Projectile,222,,,,,,,,,,,,
232,vfx_STAT_Fear,223,,,,,,,,,,,,
233,Spectral Attack Impact,224,,,,,,,,,,,,
234,Level Up effect,225,,,,,,,,,,,,
235,Morale Hit and Debuff,81,110,,,,,,,,,,,
;,236,,,,,,,,,,,,,
237,Damage with morale build up,270,102,,,,,,,,,,,
238,Head Cracker,118,,,,,,,,,,,,
239,Gork Gork Gork Gork (Fists of Gork),85,,,,,,,,,,,,
240,Cold cloud AOE,230,,,,,,,,,,,,
;,241,,,,,,,,,,,,,
;,242,,,,,,,,,,,,,
243,Death effect for ghostly undead part1,233,,,,,,,,,,,,
244,Death effect for ghostly undead (all),234,233,,,,,,,,,,,
;,245,,,,,,,,,,,,,
246,Death Dot Purple lingering cloud,236,,,,,,,,,,,,
247,Spirit attack Swirling trails with impacts,237,,,,,,,,,,,,
248,Auto attack impact,238,,,,,,,,,,,,
;,249,,,,,,,,,,,,,
;,250,,,,,,,,,,,,,
251,Steam jet,241,,,,,,,,,,,,
252,Fire wall Spell,720,,,,,,,,,,,,
;,253,,,,,,,,,,,,,
254,Debuff Impact with purple Sparks,244,,,,,,,,,,,,
255,Taunt,245,,,,,,,,,,,,
256,Red hand glow both hands,246,247,,,,,,,,,,,
;,257,,,,,,,,,,,,,
258,yellow hand glow both hands,248,249,,,,,,,,,,,
259,yellow hand glow one hand,249,,,,,,,,,,,,
260,purple hand glow both hands,250,251,,,,,,,,,,,
;,261,,,,,,,,,,,,,
262,white Flare on weapon,252,,,,,,,,,,,,
263,Red Weapon flare,253,,,,,,,,,,,,
264,Big Explostion ,278,,,,,,,,,,,,
265,big explostion with Wood debris,278,,,,,,,,,,,,
266,big explostio with Wood Rock,278,,,,,,,,,,,,
267,Med Explotiosn with Wood debris,28,,,,,,,,,,,,
268,Med Explotion with Rock debris,28,,,,,,,,,,,,
;,269,,,,,,,,,,,,,
;,270,,,,,,,,,,,,,
271,green eye glow for waagh,256,,,,,,,,,,,,
;,272,,,,,,,,,,,,,
273,Armor buff complete with icon,258,259,,,,,,,,,,,
274,Yellow prtection aura ,259,,,,,,,,,,,,
275,Magic resist aura,260,,,,,,,,,,,,
;,276,,,,,,,,,,,,,
;,277,,,,,,,,,,,,,
;,278,,,,,,,,,,,,,
279,CTF Red flag holder icon,264,,,,,,,,,,,,
280,CTF Blue flag holder icon,265,,,,,,,,,,,,
;,281,,,,,,,,,,,,,
282,Sparkles for corpse that can be looted,266,,,,,,,,,,,,
283,Large Fire for Quests,242,,,,,,,,,,,,
284,white Shock wave,186,,,,,,,,,,,,
285,Status remove,64,59,,,,,,,,,,,
286,Streaks out red,268,,,,,,,,,,,,
287,Red Power up_streaks and swirls,269,270,271,,,,,,,,,,
288,Red power up swirls only,270,271,,,,,,,,,,,
289,Foot debuff or snare,272,273,,,,,,,,,,,
290,Hunker down /sword flash and build up,252,276,,,,,,,,,,,
;,291,,,,,,,,,,,,,
292,Morale Grudge melee hit bigger,123,244,107,,,,,,,,,,
293,Heal Buff,74,60,,,,,,,,,,,
294,Heal Buff larger,74,63,,,,,,,,,,,
295,bigger taunt,245,270,,,,,,,,,,,
296,biggest taunt,245,271,270,,,,,,,,,,
297,Gun hit debuff,244,115,,,,,,,,,,,
298,morale Shredder hit,214,2,,,,,,,,,,,
299,Big mlash on weapon with hand glows,252,248,249,,,,,,,,,,
;,300,,,,,,,,,,,,,
301,Bigger Hit with debuff,214,244,,,,,,,,,,,
302,BUFF  for toughness Med,193,66,,,,,,,,,,,
303,BUFF  for toughness Large,193,67,,,,,,,,,,,
304,Black orc Damage AOE,108,89,,,,,,,,,,,
305,Black orc Damage AOE bigger,108,268,,,,,,,,,,,
306,Big AP gain,66,,,,,,,,,,,,
308,Bigger AP gain,67,,,,,,,,,,,,
309,vfx_EART_Impact,277,,,,,,,,,,,,
310,Ballistic ground Hit,274,,,,,,,,,,,,
311,Streak of yellow with glow (1of 2),275,,,,,,,,,,,,
312,Swirls of yellow light (2 of 2 ),276,,,,,,,,,,,,
313,Yellow streaks and Swirls together,275,276,,,,,,,,,,,
314,Debuff Icon for Armor/defence ,279,119,,,,,,,,,,,
315,Tactics actiavtion Icon,280,,,,,,,,,,,,
316,Red weapon  flare with red swirl build up,271,253,,,,,,,,,,,
317,Infusing Momentum   Blue buffs,102,252,,,,,,,,,,,
318,Infusing Momentum   Blue buffs bigger,104,252,,,,,,,,,,,
319,Infusing Momentum   Blue buffs biggest,105,252,,,,,,,,,,,
320,"Big hit flash with blood splat, Vengeful strike",2,111,,,,,,,,,,,
321,"Catch breath, Red and yellow buff",276,269,,,,,,,,,,,
322,Shrapnel Grenade,289,28,,,,,,,,,,,
323,Grenade Barrage effect,281,,,,,,,,,,,,
324,Firey impact,282,,,,,,,,,,,,
325,Damage effect for Barb ,283,,,,,,,,,,,,
326,Grudge Barb Oribting runes,284,,,,,,,,,,,,
327,Large Flash grenade Bang,285,,,,,,,,,,,,
328,Fire DoT lingering,286,,,,,,,,,,,,
329,Morale and heal ( orc ),102,9,,,,,,,,,,,
330,Double debuff,244,119,,,,,,,,,,,
331,Ap buff and stun. ( NAPtime),276,55,,,,,,,,,,,
332,spell remove,59,,,,,,,,,,,,
333,Shrapnel and hot aoe wave,287,,,,,,,,,,,,
334,Damage Barb / lingering genaric,288,,,,,,,,,,,,
335,Big explosion with fire ring aoe,290,,,,,,,,,,,,
336,Big explosion for engineer bomb,291,,,,,,,,,,,,
;,337,,,,,,,,,,,,,
338,shatter weapon,250,251,244,,,,,,,,,,
339,Blast from a cannon,292,913,,,,,,,,,,,
;,340,,,,,,,,,,,,,
341,Sprint Activate,293,,,,,,,,,,,,
;,342,,,,,,,,,,,,,
343,Red Flare for Crazy Contraption,294,,,,,,,,,,,,
344,Red Flare for Leg Shot,295,,,,,,,,,,,,
;,345,,,,,,,,,,,,,
346,HIT_DEBUFF_Yellow impact with AP Debuff,213,79,,,,,,,,,,,
347,TAUNT_Sonic Cone Red,296,,,,,,,,,,,,
;,348,,,,,,,,,,,,,
;,349,,,,,,,,,,,,,
350,Talent_Increase range,198,65,,,,,,,,,,,
;,351,,,,,,,,,,,,,
;,352,,,,,,,,,,,,,
353,Heal_Damage reduction_1,63,64,,,,,,,,,,,
;,354,,,,,,,,,,,,,
;,355,,,,,,,,,,,,,
356,Heal_Damage reduction_4,63,67,,,,,,,,,,,
357,Moral_Attack_Buff_1,88,64,,,,,,,,,,,
;,358,,,,,,,,,,,,,
;,359,,,,,,,,,,,,,
;,360,,,,,,,,,,,,,
361,Buff_Attackspeed_Action points,120,66,,,,,,,,,,,
362,Ap deBuff,80,236,,,,,,,,,,,
;,363,,,,,,,,,,,,,
;,364,,,,,,,,,,,,,
365,AOE_Large Rune Orange,297,,,,,,,,,,,,
366,Large Rune AoE Blue,298,,,,,,,,,,,,
367,Blue Blast ring AoE,299,,,,,,,,,,,,
368,Yellow Blast Ring AoE,305,,,,,,,,,,,,
369,white Flare,306,,,,,,,,,,,,
370,Staff Empowerment,307,,,,,,,,,,,,
371,Wavey Aura Delayed White,308,,,,,,,,,,,,
372,Rune Brandish 1,309,,,,,,,,,,,,
373,HEAL_Life Rune changing to Streaks,310,,,,,,,,,,,,
374,HEAL_ Level 2 Life Rune streaks and flare,310,306,,,,,,,,,,,
375,"HEAL_Level 3 Life Rune Streaks, Flare, and rings",310,306,311,,,,,,,,,,
376,"HEAL_Level 4 Life Rune Streaks, Flare, Rings, Waves",310,306,311,308,,,,,,,,,
377,IMPACT_Impact effect plus thrown dirt,49,274,,,,,,,,,,,
378,Time Bomb,312,,,,,,,,,,,,
;,379,,,,,,,,,,,,,
;,380,,,,,,,,,,,,,
381,Detaunt,317,140,,,,,,,,,,,
;,382,,,,,,,,,,,,,
383,AOE Rune Ring + Moral Rune,298,132,74,,,,,,,,,,
384,AP Buff with swirls,66,276,,,,,,,,,,,
385,AOE_Thundering Blast (Lightning),318,,,,,,,,,,,,
;,386,,,,,,,,,,,,,
387,DEBUFF_Legs Purple,320,,,,,,,,,,,,
;,388,,,,,,,,,,,,,
389,DEBUFF Silence ,321,,,,,,,,,,,,
390,AOE_Sapping Wave,322,,,,,,,,,,,,
391,Smoke Grenade Impact,323,,,,,,,,,,,,
392,Life Drain Impact,126,224,,,,,,,,,,,
;,393,,,,,,,,,,,,,
394,Downward Slash w/blood,12,214,,,,,,,,,,,
395,Arrow Root Cast,324,,,,,,,,,,,,
396,Squig Cannon Ball,325,,,,,,,,,,,,
397,Multi Shot Conical Attack,326,,,,,,,,,,,,
;,398,,,,,,,,,,,,,
399,PROJ_Spike Projectile,328,,,,,,,,,,,,
400,Horn charge Impact,213,111,,,,,,,,,,,
;,401,,,,,,,,,,,,,
;,402,,,,,,,,,,,,,
403,Morkain Pillar Mist,329,,,,,,,,,,,,
404,Orc Altar Mist,330,,,,,,,,,,,,
405,firepillar,331,,,,,,,,,,,,
406,fireimpact_light,332,,,,,,,,,,,,
407,fireimpact_med,333,,,,,,,,,,,,
408,Purifyingflames,334,,,,,,,,,,,,
409,fireshield,335,,,,,,,,,,,,
410,fireball,336,,,,,,,,,,,,
;,411,,,,,,,,,,,,,
412,searingembers_Single,338,,,,,,,,,,,,
413,ClingingChaos,339,340,341,,,,,,,,,,
414,ChaosFireball_Blue,342,,,,,,,,,,,,
415,EmpireHeal_light,345,343,,,,,,,,,,,
416,EmpireHeal_Med,345,343,344,,,,,,,,,,
417,EMP_HammerGlow,346,,,,,,,,,,,,
418,EMP_Hammer_Charge,348,347,,,,,,,,,,,
;,419,,,,,,,,,,,,,
;,420,,,,,,,,,,,,,
;,421,,,,,,,,,,,,,
422,firepillar with ring,331,305,,,,,,,,,,,
423,ChaosHeal_Light,350,352,,,,,,,,,,,
424,ChaosHeal_MED,350,352,351,,,,,,,,,,
425,ChaosDarkGlory,353,,,,,,,,,,,,
426,FirePillar_Gray,358,,,,,,,,,,,,
427,RendingWinds,355,209,,,,,,,,,,,
428,ChaosFireball_Red,356,,,,,,,,,,,,
;,429,,,,,,,,,,,,,
431,FireBallBuildup_Blue,359,,,,,,,,,,,,
432,FireBallBuildup_orange,360,,,,,,,,,,,,
433,spark cast_Hand,361,,,,,,,,,,,,
434,Melt armor,362,,,,,,,,,,,,
435,BWStaffBuild,363,,,,,,,,,,,,
436,BWStaffFire_Cast,366,364,,,,,,,,,,,
437,BWStaffFire_Cast_Mor,366,364,365,,,,,,,,,,
438,BWhandFireCrawl,367,,,,,,,,,,,,
;,439,,,,,,,,,,,,,
440,BW Hand cast,368,,,,,,,,,,,,
441,BW flash cast,369,,,,,,,,,,,,
442,AcidImpact_Ground,370,,,,,,,,,,,,
443,HugeTowerCast,371,,,,,,,,,,,,
444,ChaosFireball_Green,372,,,,,,,,,,,,
;,445,,,,,,,,,,,,,
446,FireBallBuildup_Green,374,,,,,,,,,,,,
447,FireBallBuildup_Red,375,,,,,,,,,,,,
;,448,,,,,,,,,,,,,
449,ChaosFireball_Green_Holding,377,,,,,,,,,,,,
450,ChaosFireball_Red_Holding,378,,,,,,,,,,,,
;,451,,,,,,,,,,,,,
;,452,,,,,,,,,,,,,
453,FlameImpact_Red,381,,,,,,,,,,,,
454,FlameImpact_Blue,382,,,,,,,,,,,,
;,455,,,,,,,,,,,,,
456,FlameImpact_Green,384,,,,,,,,,,,,
457,AcidImpact_wall,385,,,,,,,,,,,,
;,458,,,,,,,,,,,,,
459,ChaosBuildup,387,,,,,,,,,,,,
460,AcidGeyser,388,,,,,,,,,,,,
461,Chaos_Flash01_Staff,389,,,,,,,,,,,,
462,Malestrom AoE,390,,,,,,,,,,,,
463,Chaos Zap Projectile,391,,,,,,,,,,,,
464,Large fireball with impact,392,,,,,,,,,,,,
;,465,,,,,,,,,,,,,
;,466,,,,,,,,,,,,,
;,467,,,,,,,,,,,,,
;,468,,,,,,,,,,,,,
469,PH_Projectile,397,,,,,,,,,,,,
470,PH_Looping,398,22,,,,,,,,,,,
471,PH_KnockDown,399,112,,,,,,,,,,,
472,PH_KnockBack,400,112,,,,,,,,,,,
473,PH_Impact,401,2,,,,,,,,,,,
474,PH_Healing,402,10,,,,,,,,,,,
475,PH_Haste,403,65,,,,,,,,,,,
476,PH_DOT,404,246,,,,,,,,,,,
477,PH_DeBuff,405,79,,,,,,,,,,,
478,PH_Casting,406,433,,,,,,,,,,,
479,PH,407,388,,,,,,,,,,,
480,PH_Buildup,408,360,,,,,,,,,,,
481,PH_Buff,409,67,,,,,,,,,,,
482,PH_Aura,420,97,,,,,,,,,,,
483,PH_AOE,421,367,,,,,,,,,,,
484,PH_Activate,422,341,,,,,,,,,,,
485,PH_VFX,423,427,,,,,,,,,,,
