Information,,NIF,Effect,Effect List
77,DW_Spanner_2H_T4_01,DW_Spanner_2H_T4_01,,
78,WORLD OBJ de_rvr_borderbanner_o,de_rvr_borderbanner_o,,
79,Or_TM_1H_Mace02,Or_TM_1H_Mace02,,
80,T4_OR_1H_Spear11,T4_OR_1H_Spear11,,
81,T3_OR_1H_Spear12,T3_OR_1H_Spear12,,
82,Or_TM_1H_Sword04,Or_TM_1H_Sword04,,
83,GS_Staff_2H_T3_02,GS_Staff_2H_T3_02,,
84,Or_TM_2H_Skullstaff02,Or_TM_2H_Skullstaff02,,
85,GS_Staff_2H_T2_03,GS_Staff_2H_T2_03,,
86,GS_Staff_2H_T2_02,GS_Staff_2H_T2_02,,
87,WORLD OBJ gob_lobber01,gob_lobber01,,
88,WORLD OBJ dw_prop_bugmansbarrel,dw_prop_bugmansbarrel,,
89,WORLD OBJ or_prop_barrel01,or_prop_barrel01,,
90,WORLD OBJ dw_OrganGun_prop,dw_OrganGun_prop,,
91,WORLD OBJ dw_crate_ammo03,dw_crate_ammo03,,
92,WORLD OBJ go_lobber01_prop,go_lobber01_prop,,
93,GS_Axe_1H_T4_01,GS_Axe_1H_T4_01,,
94,GS_Choppa_1H_TE_01,GS_Choppa_1H_TE_01,,
95,Or_Epic_1H_Dagger01,Or_Epic_1H_Dagger01,,
96,Or_Epic_1H_Mace01,Or_Epic_1H_Mace01,,
97,Or_Epic_1H_Spear01,Or_Epic_1H_Spear01,,
98,Or_Epic_2H_Bow01,Or_Epic_2H_Bow01,,
99,Or_Epic_2H_GreatAxe01,Or_Epic_2H_GreatAxe01,,
100,GS_Staff_2H_TE_01,GS_Staff_2H_TE_01,,
101,WORLD OBJ vfx_QI_WaterLeak_WoodPatch,vfx_QI_WaterLeak_WoodPatch,,
102,WORLD OBJ QI_dw_blackpowderKeg01,QI_dw_blackpowderKeg01,,
103,WORLD OBJ QI_dw_Thunderers_strongbox01,QI_dw_Thunderers_strongbox01,,
104,WORLD OBJ QI_ge_mushrooms01,QI_ge_mushrooms01,,
105,WORLD OBJ QI_dw_ammo_crate01,QI_dw_ammo_crate01,,
106,WORLD OBJ QI_dead_dwarf01,QI_dead_dwarf01,,
107,WORLD OBJ QI_dw_flagpole01,QI_dw_flagpole01,,
108,WORLD OBJ QI_or_flagpole01,QI_or_flagpole01,,
109,WORLD OBJ or_boarpen02,or_boarpen02,,
110,WORLD OBJ QI_Placeholder01,QI_Placeholder01,,
111,WORLD OBJ or_cage01,or_cage01,,
112,WORLD OBJ qi_dw_weaponrack01,qi_dw_weaponrack01,,
113,WORLD OBJ Qi_or_cage02,Qi_or_cage02,,
114,PATHNODE INDICATOR,at_pathnode01,,
115,WORLD OBJ he_waystone01,he_waystone01,,
116,WORLD OBJ he_waystone02,he_waystone02,,
117,WORLD OBJ he_waystone03,he_waystone03,,
118,WORLD OBJ he_waystone04,he_waystone04,,
119,WORLD OBJ ch_herdstone01,ch_herdstone01,,
120,DW_Hammer_1H_TE_01,DW_Hammer_1H_TE_01,,
121,WORLD OBJ Qi_Dw_Pedestal,Qi_Dw_Pedestal,,
122,Ch_TH_2H_Scythe,Ch_TH_2H_Scythe,,
123,WORLD OBJ Qi_dw_ship_cannon01,Qi_dw_ship_cannon01,,
124,WORLD OBJ Qi_Expeditionclue01,Qi_Expeditionclue01,,
125,WORLD OBJ Qi_Ogre_Head,Qi_Ogre_Head,,
126,WORLD OBJ Qi_Or_Artifact01_Chunk,Qi_Or_Artifact01_Chunk,,
127,WORLD OBJ Qi_Or_Artifact01_Whole,Qi_Or_Artifact01_Whole,,
128,WORLD OBJ Qi_Banner_Moonfang01,Qi_Banner_Moonfang01,,
129,WORLD OBJ Qi_DW_Brokenstatue01,Qi_DW_Brokenstatue01,,
130,WORLD OBJ dw_milegate01,dw_milegate01,,
131,WORLD OBJ dw_wall01_ruined01,dw_wall01_ruined01,,
132,WORLD OBJ dw_wall01_ruined01a,dw_wall01_ruined01a,,
133,WORLD OBJ dw_kiln01,dw_kiln01,,
134,WORLD OBJ dw_coalpile01,dw_coalpile01,,
135,WORLD OBJ ge_pike_dwarfhead02,ge_pike_dwarfhead02,,
136,WORLD OBJ ge_tent01_large,ge_tent01_large,,
137,WORLD OBJ dw_prop_barrel_floating01,dw_prop_barrel_floating01,,
138,WORLD OBJ dw_prop_barrels02,dw_prop_barrels02,,
139,WORLD OBJ dw_prop_barrels03,dw_prop_barrels03,,
140,WORLD OBJ dw_prop_barrels04,dw_prop_barrels04,,
141,WORLD OBJ dw_prop_barrels05,dw_prop_barrels05,,
142,WORLD OBJ or_Wyvern_nest01,or_Wyvern_nest01,,
143,WORLD OBJ or_marsh_Flower01,or_marsh_Flower01,,
144,WORLD OBJ dw_prop_chair02,dw_prop_chair02,,
145,WORLD OBJ dw_prop_bottles02,dw_prop_bottles02,,
146,WORLD OBJ dw_prop_bottles03,dw_prop_bottles03,,
147,WORLD OBJ go_siegeshop01_storefront_arrow,go_siegeshop01_storefront_arrow,,
148,WORLD OBJ dw_strategytable01_scrolltube,dw_strategytable01_scrolltube,,
149,WORLD OBJ ge_rock003,ge_rock003,,
150,WORLD OBJ or_banner05,or_banner05,,
151,WORLD OBJ or_pile_dung02,or_pile_dung02,,
152,WORLD OBJ ge_rock011,ge_rock011,,
153,WORLD OBJ Qi_HungSkeleton01,Qi_HungSkeleton01,,
154,WORLD OBJ em_wbarrow_broken_01,em_wbarrow_broken_01,,
155,WORLD OBJ em_wheel_barrow,em_wheel_barrow,,
156,WORLD OBJ dw_coalpile_fire01,dw_coalpile_fire01,,
157,WORLD OBJ dw_prop_chair01,dw_prop_chair01,,
158,WORLD OBJ vfx_MISC_CH_Herdstones_Switching_EtoC,vfx_MISC_CH_Herdstones_Switching_EtoC,,
159,WORLD OBJ vfx_MISC_CH_Herdstones_Switching_CtoE,vfx_MISC_CH_Herdstones_Switching_CtoE,,
160,WORLD OBJ QI_CTF_PVP_banner_blue,QI_CTF_PVP_banner_blue,,
161,WORLD OBJ QI_CTF_PVP_banner_red,QI_CTF_PVP_banner_red,,
162,WORLD OBJ QI_CTF_PVP_banner_white,QI_CTF_PVP_banner_white,,
163,WORLD OBJ or_barrier01,or_barrier01,,
164,WORLD OBJ em_well01,em_well01,,
165,WORLD OBJ or_densePlants,or_densePlants,,
166,WORLD OBJ dw_prop_wagon03,dw_prop_wagon03,,
167,WORLD OBJ ge_rock001,ge_rock001,,
168,WORLD OBJ or_prop_crate01,or_prop_crate01,,
169,WORLD OBJ dw_prop_cball_pile01,dw_prop_cball_pile01,,
170,WORLD OBJ dw_banner_large_03,dw_banner_large_03,,
171,WORLD OBJ em_table_broken_01,em_table_broken_01,,
172,WORLD OBJ dw_prop_table03,dw_prop_table03,,
173,WORLD OBJ ge_rock002,ge_rock002,,
174,WORLD OBJ or_rock_sulfur04,or_rock_sulfur04,,
175,WORLD OBJ qi_mo_tower01_pillar_destroyed,qi_mo_tower01_pillar_destroyed,,
176,WORLD OBJ qi_mo_tower01_pillar,qi_mo_tower01_pillar,,
177,WORLD OBJ QI_dw_blackpowderkeg01,QI_dw_blackpowderkeg01,,
178,PLAYER GRAVE em_tombstone_01,em_tombstone_01,,
179,PLAYER GRAVE ch_tombstone01,ch_tombstone01,,
180,em_statue_sigmar01,em_statue_sigmar01,,
181,WORLD OBJ dw_pvp_banner01,dw_pvp_banner01,,
182,WORLD OBJ or_pvp_banner01,or_pvp_banner01,,
183,WORLD OBJ vfx_QI_BreakingBarrel,vfx_QI_BreakingBarrel,,
184,WORLD OBJ dw_roadside_brazier01,dw_roadside_brazier01,,
185,WORLD OBJ dw_crate_ammo07,dw_crate_ammo07,,
186,WORLD OBJ go_lobber02_prop,go_lobber02_prop,,
187,WORLD OBJ qi_go_cauldron01,qi_go_cauldron01,,
188,WORLD OBJ qi_ge_spidercocoon02,qi_ge_spidercocoon02,,
189,WORLD OBJ vfx_Dw_Organgun_anim-nifswap,vfx_Dw_Organgun_anim-nifswap,,
190,WORLD OBJ or_deadorc01,or_deadorc01,,
191,WORLD OBJ or_deadorc02,or_deadorc02,,
192,WORLD OBJ or_deadorc03,or_deadorc03,,
193,WORLD OBJ or_deadorc04,or_deadorc04,,
194,WORLD OBJ dw_dead04,dw_dead04,,
195,WORLD OBJ dw_dead05,dw_dead05,,
196,WORLD OBJ qi_em_statue_sigmar01,qi_em_statue_sigmar01,,
197,WORLD OBJ qi_dw_gyrodestroyed_smoke,qi_dw_gyrodestroyed_smoke,,
198,WORLD OBJ vfx_amb_largefireballwithimpact,vfx_amb_largefireballwithimpact,,
199,WORLD OBJ qi_dw_tent01_fire,qi_dw_tent01_fire,,
200,WORLD OBJ qi_ch_deadgiant01,qi_ch_deadgiant01,,
201,WORLD OBJ qi_mo_powerdevice01,qi_mo_powerdevice01,,
202,WORLD OBJ qi_dw_gromril,qi_dw_gromril,,
203,WORLD OBJ qi_mo_powerdevice_fx,qi_mo_powerdevice_fx,,
204,WORLD OBJ go_gunbad_squigboss,go_gunbad_squigboss,,
205,WORLD OBJ qi_em_wagon01_fire,qi_em_wagon01_fire,,
206,WORLD OBJ qi_em_bell_anim01,qi_em_bell_anim01,,
207,WORLD OBJ qi_em_bell01,qi_em_bell01,,
208,WORLD OBJ em_siege_mortar_destroyed01,em_siege_mortar_destroyed01,,
209,WORLD OBJ ch_frozen_corpse01   ,ch_frozen_corpse01,,
210,WORLD OBJ em_praag_foundation01_keystone01,em_praag_foundation01_keystone01,,
211,WORLD OBJ em_cemetery_gravestone05,em_cemetery_gravestone05,,
212,WORLD OBJ em_guiltyrack01,em_guiltyrack01,,
213,WORLD OBJ em_cage_01,em_cage_01,,
214,WORLD OBJ Qi_Mo_Artifact01_Whole,Qi_Mo_Artifact01_Whole,,
215,WORLD OBJ qi_ge_tm_dirtPile01,qi_ge_tm_dirtPile01,,
216,WORLD OBJ qi_dw_bottles02,qi_dw_bottles02,,
217,WORLD OBJ ge_lumber01,ge_lumber01,,
218,WORLD OBJ em_dead_guard_m_03,em_dead_guard_m_03,,
219,WORLD OBJ em_dead_guard_m_02,em_dead_guard_m_02,,
220,WORLD OBJ em_dead_guard_m_01,em_dead_guard_m_01,,
221,WORLD OBJ em_dead_guard_f_02,em_dead_guard_f_02,,
222,WORLD OBJ em_dead_guard_f_01,em_dead_guard_f_01,,
223,WORLD OBJ qi_em_dirtpile01 ,qi_em_dirtpile01,,
224,WORLD OBJ qi_ge_driftwood01,qi_ge_driftwood01,,
225,WORLD OBJ qi_ch_portalsmall01,qi_ch_portalsmall01,,
226,WORLD OBJ qi_em_beartrap01,qi_em_beartrap01,,
227,WORLD OBJ qi_em_beartrap02,qi_em_beartrap02,,
228,WORLD OBJ ch_banner01,ch_banner01,,
229,prop_1h_fetish_skull,prop_1h_fetish_skull,,
230,WORLD OBJ Qi_Dw_Head,Qi_Dw_Head,,
231,WORLD OBJ Qi_Dw_Skull,Qi_Dw_Skull,,
232,WORLD OBJ Qi_Go_Skull,Qi_Go_Skull,,
233,WORLD OBJ Qi_Hu_Skull,Qi_Hu_Skull,,
234,WORLD OBJ Qi_Or_Head,Qi_Or_Head,,
235,WORLD OBJ Qi_rock006,Qi_rock006,,
236,WORLD OBJ Qi_Torch01,Qi_Torch01,,
237,WORLD OBJ Qi_Troll_Head,Qi_Troll_Head,,
238,WORLD OBJ Qi_Barrel_go,Qi_Barrel_go,,
239,WORLD OBJ ch_banner02,ch_banner02,,
240,WORLD OBJ Qi_Brazier01,Qi_Brazier01,,
241,WORLD OBJ Qi_Dead_Wlf_S01,Qi_Dead_Wlf_S01,,
242,WORLD OBJ ch_banner03,ch_banner03,,
243,WORLD OBJ qi_ch_kindling_fire,qi_ch_kindling_fire,,
244,WORLD OBJ qi_ch_kindling,qi_ch_kindling,,
245,WORLD OBJ em_hourglass_01,em_hourglass_01,,
246,WORLD OBJ dw_anvilofdoom_ruined,dw_anvilofdoom_ruined,,
247,WORLD OBJ em_cups_04,em_cups_04,,
248,WORLD OBJ em_table_01,em_table_01,,
249,WORLD OBJ ch_dead_livestock04,ch_dead_livestock04,,
250,WORLD OBJ ch_dead_livestock02,ch_dead_livestock02,,
251,WORLD OBJ vfx_MISC_CH_Herdstones_Switching,vfx_MISC_CH_Herdstones_Switching,,
252,WORLD OBJ qi_ge_mushrooms02,qi_ge_mushrooms02,,
253,WORLD OBJ qi_ge_mushrooms03,qi_ge_mushrooms03,,
254,WORLD OBJ qi_ge_mushrooms04,qi_ge_mushrooms04,,
255,WORLD OBJ ge_rock005,ge_rock005,,
256,WORLD OBJ or_prop_logpile01,or_prop_logpile01,,
257,WORLD OBJ qi_or_skullpile01,qi_or_skullpile01,,
258,WORLD OBJ qi_dw_dynamitecrate01,qi_dw_dynamitecrate01,,
300,EM_TL_1H_Mace01,EM_TL_1H_Mace01,,
301,EM_TL_1H_Mace02,EM_TL_1H_Mace02,,
302,EM_Tm_1H_Mace03,EM_Tm_1H_Mace03,,
303,EM_Tm_1H_Mace04,EM_Tm_1H_Mace04,,
304,EM_Tm_1H_Sword05,EM_Tm_1H_Sword05,,
305,EM_Tm_1H_Sword06,EM_Tm_1H_Sword06,,
306,EM_Tm_1H_Sword07,EM_Tm_1H_Sword07,,
307,EM_Tm_1H_Sword08,EM_Tm_1H_Sword08,,
308,EM_TL_1H_Axe01,EM_TL_1H_Axe01,,
309,EM_TL_1H_Axe02,EM_TL_1H_Axe02,,
310,EM_Tm_1H_Axe03,EM_Tm_1H_Axe03,,
311,EM_Tm_1H_Axe04,EM_Tm_1H_Axe04,,
312,EM_TL_1H_Dagger01,EM_TL_1H_Dagger01,,
313,EM_TL_1H_Dagger02,EM_TL_1H_Dagger02,,
314,EM_TL_1H_Dagger03,EM_TL_1H_Dagger03,,
315,EM_Tm_1H_Dagger04,EM_Tm_1H_Dagger04,,
316,EM_Tm_1H_Dagger05,EM_Tm_1H_Dagger05,,
317,EM_Tm_1H_Dagger06,EM_Tm_1H_Dagger06,,
318,DW_Handgun_1H_TE_01,DW_Handgun_1H_TE_01,,
319,DW_Handgun_1H_TE_02,DW_Handgun_1H_TE_02,,
320,DW_Rifle_TE_02,DW_Rifle_TE_02,,
321,GS_Axe_1H_T2_01,GS_Axe_1H_T2_01,,
322,WORLD OBJ qi_or_trophypile01,qi_or_trophypile01,,
323,WORLD OBJ qi_ge_bfp_dirtPile01,qi_ge_bfp_dirtPile01,,
324,Em_TL_1h_Spear01,Em_TL_1h_Spear01,,
325,Em_TL_1h_Spear02,Em_TL_1h_Spear02,,
326,Em_Tm_1h_Spear03,Em_Tm_1h_Spear03,,
327,Em_Tm_1h_Spear04,Em_Tm_1h_Spear04,,
328,EM_TL_1H_Sword01,EM_TL_1H_Sword01,,
329,EM_TL_1H_Sword02,EM_TL_1H_Sword02,,
330,EM_TL_1H_Sword03,EM_TL_1H_Sword03,,
331,EM_TL_1H_Sword04,EM_TL_1H_Sword04,,
332,EM_BrightStaff_2H_T1_01,EM_BrightStaff_2H_T1_01,,2480
333,EM_BrightStaff_2H_T1_02,EM_BrightStaff_2H_T1_02,,2480
334,EM_BrightStaff_2H_T1_03,EM_BrightStaff_2H_T1_03,,2480
335,EM_BrightStaff_2H_T1_04,EM_BrightStaff_2H_T1_04,,2480
336,WORLD OBJ qi_ge_tm_mushRoom01,qi_ge_tm_mushRoom01,,
337,WORLD OBJ qi_dw_anvilOfDoom01,qi_dw_anvilOfDoom01,,
338,WORLD OBJ qi_em_drakk_magicalBrazier01,qi_em_drakk_magicalBrazier01,,
339,WORLD OBJ qi_dw_anvilOfDoom01_destroyed,qi_dw_anvilOfDoom01_destroyed,,
340,EM_TL_1H_GreatSword01,EM_TL_1H_GreatSword01,,
341,EM_TL_1H_GreatSword02,EM_TL_1H_GreatSword02,,
342,EM_Tm_1H_GreatSword03,EM_Tm_1H_GreatSword03,,
343,EM_Tm_1H_GreatSword04,EM_Tm_1H_GreatSword04,,
344,EM_TL_Shield01,EM_TL_Shield01,,
345,EM_TL_Shield02,EM_TL_Shield02,,
346,EM_TL_Shield03,EM_TL_Shield03,,
347,EM_TL_Shield04,EM_TL_Shield04,,
348,EM_TL_Shield05,EM_TL_Shield05,,
349,EM_TL_Shield06,EM_TL_Shield06,,
350,EM_TM_Shield07,EM_TM_Shield07,,
351,EM_TM_Shield08,EM_TM_Shield08,,
352,EM_TM_Shield09,EM_TM_Shield09,,
353,EM_TM_Shield10,EM_TM_Shield10,,
354,EM_TM_Shield11,EM_TM_Shield11,,
355,EM_TM_Shield12,EM_TM_Shield12,,
356,EM_TH_Shield13,EM_TH_Shield13,,
357,EM_TH_Shield14,EM_TH_Shield14,,
358,EM_TH_Shield15,EM_TH_Shield15,,
359,EM_TH_Shield16,EM_TH_Shield16,,
360,EM_TH_Shield17,EM_TH_Shield17,,
361,EM_TH_Shield18,EM_TH_Shield18,,
362,EM_Crossbow_2H_T1_01,EM_Crossbow_2H_T1_01,,
363,EM_Crossbow_2H_T1_02,EM_Crossbow_2H_T1_02,,
364,EM_Pistol_T1_02,EM_Pistol_T1_02,,
365,EM_Pistol_T2_01,EM_Pistol_T2_01,,
366,EM_Pistol_T3_01,EM_Pistol_T3_01,,
367,EM_Pistol_T4_01,EM_Pistol_T4_01,,
368,EM_Hammer_1H_T4_01,EM_Hammer_1H_T4_01,,
369,EM_Hammer_1H_T3_03,EM_Hammer_1H_T3_03,,
370,EM_Hammer_2H_T2_03,EM_Hammer_2H_T2_03,,
371,EM_Hammer_2H_T3_02,EM_Hammer_2H_T3_02,,
372,EM_Hammer_2H_T2_02,EM_Hammer_2H_T2_02,,
373,EM_Hammer_2H_T2_01,EM_Hammer_2H_T2_01,,
374,EM_Hammer_1H_T2_03,EM_Hammer_1H_T2_03,,
375,EM_Hammer_1H_T3_01,EM_Hammer_1H_T3_01,,
376,EM_Hammer_1H_T2_02,EM_Hammer_1H_T2_02,,
377,EM_Hammer_1H_T2_01,EM_Hammer_1H_T2_01,,
378,EM_Hammer_2H_T1_03,EM_Hammer_2H_T1_03,,
379,EM_Hammer_2H_T3_01,EM_Hammer_2H_T3_01,,
380,EM_Hammer_2H_T1_02,EM_Hammer_2H_T1_02,,
381,EM_Hammer_2H_T1_01,EM_Hammer_2H_T1_01,,
382,EM_Hammer_1H_T1_03,EM_Hammer_1H_T1_03,,
383,EM_Hammer_1H_T3_02,EM_Hammer_1H_T3_02,,
384,EM_Hammer_1H_T1_02,EM_Hammer_1H_T1_02,,
385,EM_Hammer_1H_T1_01,EM_Hammer_1H_T1_01,,
386,WORLD OBJ vfx_ch_elysium_vines_opening,vfx_ch_elysium_vines_opening,,
387,WORLD OBJ vfx_ch_elysium_vines_closed,vfx_ch_elysium_vines_closed,,
388,EM_Hammer_2H_TE_02,EM_Hammer_2H_TE_02,,
389,EM_Hammer_2H_TE_01,EM_Hammer_2H_TE_01,,
390,WORLD OBJ qi_ch_brasspike_NoSkull,qi_ch_brasspike_NoSkull,,
391,WORLD OBJ em_crypt_prop_coffin_animated,em_crypt_prop_coffin_animated,,
392,EM_Hammer_1H_TE_02,EM_Hammer_1H_TE_02,,
393,EM_Hammer_1H_TE_01,EM_Hammer_1H_TE_01,,
394,EM_Hammer_2H_T4_03,EM_Hammer_2H_T4_03,,
395,EM_Hammer_2H_T4_02,EM_Hammer_2H_T4_02,,
396,EM_Hammer_2H_T4_01,EM_Hammer_2H_T4_01,,
397,EM_Hammer_2H_T3_03,EM_Hammer_2H_T3_03,,
398,EM_Hammer_1H_T4_03,EM_Hammer_1H_T4_03,,
399,EM_Hammer_1H_T4_02,EM_Hammer_1H_T4_02,,
400,Em_TL_1H_Spear01 ,Em_TL_1H_Spear01,,
401,NPC_EM_Halberd_01,NPC_EM_Halberd_01,,
402,WORLD OBJ ch_prop_chest01,ch_prop_chest01,,
403,WORLD OBJ em_crate_02,em_crate_02,,
404,WORLD OBJ em_crypt_prop_coffin01,em_crypt_prop_coffin01,,
405,WORLD OBJ ch_siege_cannon01_animated,ch_siege_cannon01_animated,,
406,WORLD OBJ qi_em_drakk_magicalBrazier01_off,qi_em_drakk_magicalBrazier01_off,,
407,WORLD OBJ ch_siege_cannon01,ch_siege_cannon01,,
408,WORLD OBJ qi_em_boots01,qi_em_boots01,,
409,WORLD OBJ qi_oldcampfire02,qi_oldcampfire02,,
410,WORLD OBJ qi_em_cauldron,qi_em_cauldron,,
411,WORLD OBJ QI_dw_tent_tagged01,QI_dw_tent_tagged01,,
412,WORLD OBJ vfx_SCN_OrcAltarEnergy_Fixture_Looping,vfx_SCN_OrcAltarEnergy_Fixture_Looping,,
413,WORLD OBJ qi_em_cage01,qi_em_cage01,,
414,WORLD OBJ qi_gunbad_rock01,qi_gunbad_rock01,,
415,WORLD OBJ em_crypt_prop_pot02,em_crypt_prop_pot02,,
416,WORLD OBJ or_bush01_var02,or_bush01_var02,,
417,WORLD OBJ or_rottentree,or_rottentree,,
418,WORLD OBJ em_siege_cannon01_destroyed,em_siege_cannon01_destroyed,,
419,WORLD OBJ em_crypt_prop_coffin03,em_crypt_prop_coffin03,,
420,WORLD OBJ em_siege_cannon01,em_siege_cannon01,,
421,WORLD OBJ qi_mo_temple_artifact_housing_01,qi_mo_temple_artifact_housing_01,,
422,WORLD OBJ qi_mo_temple_artifact_housing_02,qi_mo_temple_artifact_housing_02,,
423,WORLD OBJ qi_mo_temple_artifact_01,qi_mo_temple_artifact_01,,
424,WORLD OBJ em_cemetery_gravestone06,em_cemetery_gravestone06,,
425,WORLD OBJ em_monument02,em_monument02,,
426,WORLD OBJ em_wagon01,em_wagon01,,
427,WORLD OBJ qi_em_logpile01,qi_em_logpile01,,
428,WORLD OBJ qi_em_white_flower01,qi_em_white_flower01,,
429,WORLD OBJ dw_roadmarker01_sign01,dw_roadmarker01_sign01,,
430,WORLD OBJ vfx_FIRE_house_large,vfx_FIRE_house_large,,
431,WORLD OBJ vfx_FIRE_house_med,vfx_FIRE_house_med,,
432,WORLD OBJ vfx_FIRE_house_small,vfx_FIRE_house_small,,
433,WORLD OBJ vfx_SMOK_houseSmoke01,vfx_SMOK_houseSmoke01,,
434,WORLD OBJ vfx_FIRE_house_huge,vfx_FIRE_house_huge,,
435,WORLD OBJ em_building_house01,em_building_house01,,
436,WORLD OBJ em_cups_05,em_cups_05,,
437,WORLD OBJ em_cemetery_fence01_gate01,em_cemetery_fence01_gate01,,
438,WORLD OBJ ge_bonfireWR,ge_bonfireWR,,
439,WORLD OBJ ge_bonepiece10,ge_bonepiece10,,
440,WORLD OBJ ge_tree_dead_standing01,ge_tree_dead_standing01,,
