i,icon,type,slot
394,215,ROBE,GLOV
395,216,ROBE,HELM
396,217,ROBE,PNTS
397,218,ROBE,SHOU
398,219,ROBE,BELT
399,220,ROBE,BODY
400,221,ROBE,BOOT
401,222,ROBE,GLOV
402,223,ROBE,HELM
403,224,ROBE,PNTS
404,225,ROBE,SHOU
405,226,ROBE,BELT
406,227,ROBE,BODY
407,228,ROBE,BOOT
408,229,ROBE,GLOV
409,230,ROBE,HELM
410,231,ROBE,PNTS
411,232,ROBE,SHOU
412,233,ROBE,BELT
413,234,ROBE,BODY
414,235,ROBE,BOOT
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,,,
500,2009,NONE,GLOV
501,2010,NONE,SHOU
502,2011,NONE,HELM
503,2072,NONE,BELT
504,2073,NONE,BODY
505,2074,NONE,BOOT
506,2075,NONE,GLOV
507,2076,NONE,SHOU
508,2077,NONE,HELM
509,2132,NONE,BELT
510,2133,NONE,BODY
511,2134,NONE,BOOT
512,2135,NONE,GLOV
513,2136,NONE,SHOU
514,2137,NONE,HELM
515,2192,NONE,BELT
516,2193,NONE,BODY
517,2194,NONE,BOOT
518,2195,NONE,GLOV
519,2196,NONE,SHOU
520,2197,NONE,HELM
521,1160,NONE,RGHT
522,1161,NONE,RGHT
523,1182,NONE,RGHT
524,1183,NONE,RGHT
525,1173,NONE,RGHT
526,1219,NONE,RGHT
527,1220,NONE,RGHT
528,1272,XBOW,RANGE
529,1276,GUN,RANGE
530,1257,NONE,LEFT
531,1258,NONE,LEFT
532,1284,NONE,LEFT
533,1285,NONE,LEFT
534,1236,NONE,RGHT
535,1237,NONE,RGHT
536,2018,NONE,BELT
537,2019,NONE,BODY
538,2020,NONE,BOOT
539,2021,NONE,GLOV
540,2022,NONE,SHOU
541,2023,NONE,HELM
542,2078,NONE,BELT
543,2079,NONE,BODY
544,2080,NONE,BOOT
545,2081,NONE,GLOV
546,2082,NONE,SHOU
547,2083,NONE,HELM
548,2138,NONE,BELT
549,2139,NONE,BODY
550,2140,NONE,BOOT
551,2141,NONE,GLOV
552,2142,NONE,SHOU
553,2143,NONE,HELM
554,2198,NONE,BELT
555,2199,NONE,BODY
556,2200,NONE,BOOT
557,2201,NONE,GLOV
558,2202,NONE,SHOU
559,2203,NONE,HELM
560,1162,NONE,RGHT
561,1163,NONE,RGHT
562,1186,NONE,RGHT
563,1187,NONE,RGHT
564,1172,NONE,RGHT
565,1224,NONE,RGHT
566,1225,NONE,RGHT
567,1271,XBOW,RANGE
568,1277,GUN,RANGE
569,1278,GUN,RANGE
570,1259,NONE,LEFT
571,1260,NONE,LEFT
572,1287,NONE,LEFT
573,1288,NONE,LEFT
574,1238,NONE,RGHT
575,1239,NONE,RGHT
576,2030,NONE,BELT
577,2031,NONE,BODY
578,2032,NONE,BOOT
579,2033,NONE,GLOV
580,2034,NONE,SHOU
581,2035,NONE,HELM
582,2090,NONE,BELT
583,2091,NONE,BODY
584,2092,NONE,BOOT
585,2093,NONE,GLOV
586,2094,NONE,SHOU
587,2095,NONE,HELM
588,2150,NONE,BELT
589,2151,NONE,BODY
590,2152,NONE,BOOT
591,2153,NONE,GLOV
592,2154,NONE,SHOU
593,2155,NONE,HELM
594,2210,NONE,BELT
595,2211,NONE,BODY
596,2212,NONE,BOOT
597,2213,NONE,GLOV
598,2214,NONE,SHOU
599,2215,NONE,HELM
600,,,
601,1,NONE,NONE
602,,,
603,,,
604,,,
605,,,
606,,,
607,,,
608,,,
609,,,
610,,,
611,,,
612,,,
613,,,
614,,,
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,,,
622,,,
623,,,
624,,,
625,,,
626,,,
627,,,
628,,,
629,,,
630,,,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,,,
652,,,
653,,,
654,,,
655,,,
656,,,
657,,,
658,,,
659,,,
660,0,NONE,NONE
661,0,NONE,NONE
662,0,NONE,NONE
663,0,NONE,NONE
664,0,NONE,NONE
665,0,NONE,NONE
666,410,NONE,NONE
667,0,NONE,NONE
668,0,NONE,NONE
669,0,NONE,NONE
670,420,NONE,NONE
671,,,
672,,,
673,,,
674,,,
675,,,
676,,,
677,,,
678,,,
679,,,
680,,,
681,,,
682,,,
683,,,
684,,,
685,,,
686,,,
687,,,
688,,,
689,,,
690,,,
691,,,
692,,,
693,,,
694,,,
695,,,
696,,,
697,,,
698,,,
699,,,
700,,,
701,668,SWORD,RGHT
702,669,SWORD,RGHT
703,670,SWORD,RGHT
704,671,SWORD,RGHT
705,672,HAMMER,EITHER
706,673,HAMMER,EITHER
707,674,HAMMER,EITHER
708,675,HAMMER,EITHER
709,676,HAMMER,EITHER
710,677,HAMMER,RGHT
711,678,HAMMER,RGHT
712,679,SWORD,RGHT
713,680,SWORD,RGHT
714,681,SWORD,RGHT
715,682,SWORD,RGHT
716,683,HAMMER,RGHT
717,684,HAMMER,RGHT
718,685,HAMMER,RGHT
719,686,HAMMER,RGHT
720,687,ASHLD,LEFT
721,688,ASHLD,LEFT
722,689,ASHLD,LEFT
723,690,ASHLD,LEFT
724,691,ASHLD,LEFT
725,692,ASHLD,LEFT
726,693,ASHLD,LEFT
727,694,SWORD,EITHER
728,695,SWORD,EITHER
729,696,SWORD,EITHER
730,697,SWORD,EITHER
731,698,SWORD,EITHER
732,699,SWORD,EITHER
733,700,SWORD,EITHER
734,701,SWORD,EITHER
735,702,SWORD,EITHER
736,703,SWORD,EITHER
737,704,SWORD,EITHER
738,705,SWORD,EITHER
739,706,SWORD,RGHT
740,707,SWORD,RGHT
741,708,HAMMER,RGHT
742,709,HAMMER,RGHT
743,710,HAMMER,RGHT
744,711,HAMMER,EITHER
745,712,HAMMER,EITHER
746,713,HAMMER,EITHER
747,714,HAMMER,EITHER
748,715,HAMMER,EITHER
749,716,HAMMER,EITHER
750,717,SWORD,RGHT
751,718,SWORD,RGHT
752,719,SWORD,RGHT
753,720,SWORD,RGHT
754,721,SWORD,RGHT
755,722,SWORD,RGHT
756,723,SWORD,RGHT
757,724,SWORD,RGHT
758,725,HAMMER,RGHT
759,726,HAMMER,RGHT
760,727,HAMMER,RGHT
761,728,HAMMER,RGHT
762,729,HAMMER,RGHT
763,730,HAMMER,RGHT
764,731,HAMMER,RGHT
765,732,HAMMER,RGHT
766,733,HAMMER,RGHT
767,734,HAMMER,RGHT
768,735,GUN,EITHER
769,736,GUN,EITHER
770,737,XBOW,RGHT
771,738,GUN,RGHT
772,739,GUN,RGHT
773,740,ASHLD,LEFT
774,741,ASHLD,LEFT
775,742,ASHLD,LEFT
776,743,ASHLD,LEFT
777,744,SWORD,EITHER
778,745,SWORD,EITHER
779,746,SWORD,EITHER
780,747,SWORD,EITHER
781,748,HAMMER,EITHER
782,749,HAMMER,EITHER
783,750,HAMMER,RGHT
784,751,HAMMER,RGHT
785,752,HAMMER,RGHT
786,753,SWORD,RGHT
787,754,SWORD,RGHT
788,755,SWORD,RGHT
789,756,SWORD,RGHT
790,757,HAMMER,RGHT
791,758,HAMMER,RGHT
792,759,HAMMER,RGHT
793,760,HAMMER,RGHT
794,761,ASHLD,EITHER
795,762,ASHLD,EITHER
796,763,GUN,EITHER
797,764,GUN,EITHER
798,765,GUN,EITHER
799,766,GUN,EITHER
800,767,ASHLD,LEFT
801,768,ASHLD,LEFT
802,769,ASHLD,LEFT
803,770,ASHLD,LEFT
804,771,SWORD,EITHER
805,772,HAMMER,EITHER
806,773,HAMMER,EITHER
807,774,HAMMER,EITHER
808,775,SWORD,EITHER
809,776,SWORD,EITHER
810,777,HAMMER,RGHT
811,778,HAMMER,RGHT
812,779,HAMMER,RGHT
813,780,SWORD,RGHT
814,781,SWORD,RGHT
815,782,SWORD,RGHT
816,783,HAMMER,RGHT
817,784,HAMMER,RGHT
818,787,SWORD,EITHER
819,788,SWORD,RGHT
820,789,BOW,RANGE
821,790,ASHLD,LEFT
822,791,SWORD,EITHER
823,792,SWORD,EITHER
824,793,SWORD,EITHER
825,794,SWORD,EITHER
826,795,SWORD,EITHER
827,796,SWORD,EITHER
828,797,SWORD,EITHER
829,798,HAMMER,EITHER
830,799,HAMMER,EITHER
831,800,HAMMER,EITHER
832,801,HAMMER,EITHER
833,802,SWORD,EITHER
834,803,SWORD,EITHER
835,804,SWORD,EITHER
836,805,SWORD,EITHER
837,806,SWORD,RGHT
838,807,SWORD,RGHT
839,808,SWORD,RGHT
840,809,SWORD,RGHT
841,810,SWORD,RGHT
842,811,ASHLD,LEFT
843,812,ASHLD,LEFT
844,813,ASHLD,LEFT
845,814,ASHLD,LEFT
846,815,ASHLD,LEFT
847,816,ASHLD,LEFT
848,817,ASHLD,LEFT
849,818,ASHLD,LEFT
850,819,ASHLD,LEFT
851,820,ASHLD,LEFT
852,821,ASHLD,LEFT
853,822,SWORD,EITHER
854,823,SWORD,EITHER
855,824,SWORD,EITHER
856,825,SWORD,EITHER
857,826,SWORD,EITHER
858,827,SWORD,EITHER
859,828,SWORD,EITHER
860,829,SWORD,EITHER
861,830,SWORD,EITHER
862,831,SWORD,EITHER
863,832,SWORD,EITHER
864,833,SWORD,EITHER
865,834,HAMMER,EITHER
866,835,HAMMER,EITHER
867,836,HAMMER,EITHER
868,837,HAMMER,EITHER
869,838,HAMMER,EITHER
870,839,HAMMER,EITHER
871,840,HAMMER,EITHER
872,841,HAMMER,EITHER
873,842,SWORD,EITHER
874,843,SWORD,EITHER
875,844,SWORD,EITHER
876,845,SWORD,EITHER
877,846,SWORD,EITHER
878,,,
879,0,NONE,NONE
880,1208,NONE,NONE
881,0,NONE,NONE
882,0,NONE,NONE
883,0,NONE,NONE
884,0,NONE,NONE
885,0,NONE,NONE
886,0,NONE,NONE
887,1,NONE,NONE
888,0,NONE,NONE
889,0,NONE,NONE
890,0,NONE,NONE
891,0,NONE,NONE
892,0,NONE,NONE
893,0,NONE,NONE
894,0,NONE,NONE
895,1091,SWORD,RGHT
896,1092,SWORD,RGHT
897,1092,NONE,BODY
898,1281,QUEST,NONE
899,2529,QUEST,NONE
900,,,
901,363,NONE,NONE
902,363,NONE,NONE
903,373,NONE,NONE
904,378,NONE,NONE
905,383,NONE,NONE
906,388,NONE,NONE
907,393,NONE,NONE
908,398,NONE,NONE
909,374,NONE,NONE
910,378,NONE,NONE
911,379,NONE,NONE
912,363,NONE,NONE
913,380,NONE,NONE
914,389,NONE,NONE
915,373,NONE,NONE
916,357,NONE,NONE
917,358,NONE,NONE
918,359,NONE,NONE
919,360,NONE,NONE
920,394,NONE,NONE
921,399,NONE,NONE
922,375,NONE,NONE
923,380,NONE,NONE
924,389,NONE,NONE
925,379,NONE,NONE
926,385,NONE,NONE
927,377,NONE,NONE
928,393,NONE,NONE
929,395,NONE,NONE
930,400,NONE,NONE
931,361,NONE,NONE
932,361,NONE,NONE
933,388,NONE,NONE
934,400,NONE,NONE
935,381,NONE,NONE
936,386,NONE,NONE
937,391,NONE,NONE
938,396,NONE,NONE
939,401,NONE,NONE
940,373,NONE,NONE
941,391,NONE,NONE
942,377,NONE,NONE
943,374,NONE,NONE
944,382,NONE,NONE
945,396,NONE,NONE
946,387,NONE,NONE
947,392,NONE,NONE
948,396,NONE,NONE
949,397,NONE,NONE
950,,,
951,,,
952,,,
953,,,
954,,,
955,,,
956,,,
957,,,
958,,,
959,,,
960,,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,,,
967,,,
968,,,
969,,,
970,,,
971,,,
972,,,
973,,,
974,,,
975,,,
976,,,
977,,,
978,,,
979,,,
980,,,
981,,,
982,,,
983,,,
984,,,
985,,,
986,,,
987,,,
988,,,
989,,,
990,,,
991,,,
992,,,
993,,,
994,,,
995,,,
996,,,
997,,,
998,,,
999,,,
1000,,,
1001,395,NONE,NONE
1002,462,NONE,NONE
1003,796,NONE,NONE
1004,481,QUEST,NONE
1005,955,NONE,NONE
1006,452,QUEST,NONE
1007,382,NONE,NONE
1008,387,NONE,NONE
1009,388,NONE,NONE
1010,392,NONE,NONE
1011,395,NONE,NONE
1012,379,NONE,NONE
1013,390,NONE,NONE
1014,395,NONE,NONE
1015,387,NONE,NONE
1016,394,NONE,NONE
1017,371,NONE,NONE
1018,407,NONE,NONE
1019,384,NONE,NONE
1020,357,NONE,NONE
1021,357,NONE,NONE
1022,2488,NONE,BELT
1023,373,NONE,NONE
1024,381,NONE,NONE
1025,402,NONE,NONE
1026,415,NONE,NONE
1027,425,NONE,NONE
1028,412,NONE,NONE
1029,451,QUEST,NONE
1030,395,NONE,NONE
1031,849,NONE,NONE
1032,425,NONE,NONE
1033,415,NONE,NONE
1034,381,NONE,NONE
1035,3931,NONE,NONE
1036,415,NONE,NONE
1037,406,NONE,NONE
1038,373,NONE,NONE
1039,357,NONE,NONE
1040,406,NONE,NONE
1041,397,NONE,NONE
1042,428,NONE,NONE
1043,373,NONE,NONE
1044,373,NONE,NONE
1045,406,NONE,NONE
1046,412,NONE,NONE
1047,668,NONE,NONE
1048,410,NONE,NONE
1049,357,NONE,NONE
1050,425,NONE,NONE
1051,362,NONE,NONE
1052,430,NONE,NONE
1053,398,NONE,NONE
1054,420,NONE,NONE
1055,407,NONE,NONE
1056,405,NONE,NONE
1057,406,NONE,NONE
1058,425,NONE,NONE
1059,415,NONE,NONE
1060,425,NONE,NONE
1061,425,NONE,NONE
1062,392,NONE,NONE
1063,407,NONE,NONE
1064,425,NONE,NONE
1065,406,NONE,NONE
1066,425,NONE,NONE
1067,409,NONE,NONE
1068,407,NONE,NONE
1069,410,NONE,NONE
1070,406,NONE,NONE
1071,373,NONE,NONE
1072,434,NONE,NONE
1073,434,NONE,NONE
1074,394,NONE,NONE
1075,357,NONE,NONE
1076,425,NONE,NONE
1077,394,NONE,NONE
1078,382,NONE,NONE
1079,413,NONE,NONE
1080,1232,NONE,NONE
1081,406,NONE,NONE
1082,405,NONE,NONE
1083,381,NONE,NONE
1084,406,NONE,NONE
1085,397,NONE,NONE
1086,404,NONE,NONE
1087,3941,NONE,NONE
1088,406,NONE,NONE
1089,404,NONE,NONE
1090,373,NONE,NONE
1091,382,NONE,NONE
1092,404,NONE,NONE
1093,383,NONE,NONE
1094,383,NONE,NONE
1095,409,NONE,NONE
1096,383,NONE,NONE
1097,383,NONE,NONE
1098,436,NONE,NONE
1099,406,NONE,NONE
1100,425,NONE,RANGE
1101,1291,GUN,EITHER
1102,406,GUN,RANGE
1103,425,GUN,RANGE
1104,373,AXE,RGHT
1105,373,AXE,RGHT
1106,407,AXE,RGHT
1107,1277,NONE,NONE
1108,423,NONE,NONE
1109,423,NONE,NONE
1110,423,NONE,NONE
1111,423,NONE,NONE
1112,429,NONE,NONE
1113,425,GUN,RANGE
1114,405,NONE,NONE
1115,405,NONE,NONE
1116,405,NONE,NONE
1117,405,NONE,NONE
1118,423,NONE,NONE
1119,415,NONE,NONE
1120,422,NONE,NONE
1121,1279,NONE,NONE
1122,397,NONE,NONE
1123,405,NONE,NONE
1124,434,NONE,NONE
1125,402,NONE,NONE
1126,402,NONE,NONE
1127,471,NONE,NONE
1128,420,NONE,NONE
1129,374,NONE,NONE
1130,420,NONE,NONE
1131,402,NONE,NONE
1132,2001,NONE,NONE
1133,2003,NONE,NONE
1134,394,NONE,NONE
1135,404,NONE,NONE
1136,1054,NONE,NONE
1137,415,NONE,NONE
1138,,,
1139,,,
1140,,,
1141,,,
1142,,,
1143,,,
1144,,,
1145,,,
1146,,,
1147,,,
1148,,,
1149,,,
1150,,,
1151,,,
1152,,,
1153,,,
1154,,,
1155,,,
1156,,,
1157,,,
1158,,,
1159,,,
1160,,,
1161,,,
1162,,,
1163,,,
1164,,,
1165,,,
1166,,,
1167,,,
1168,,,
1169,,,
1170,,,
1171,,,
1172,,,
1173,,,
1174,,,
1175,,,
1176,,,
1177,,,
1178,,,
1179,,,
1180,,,
1181,,,
1182,,,
1183,,,
1184,,,
1185,,,
1186,,,
1187,,,
1188,,,
1189,,,
1190,,,
1191,,,
1192,,,
1193,,,
1194,,,
1195,,,
1196,,,
1197,,,
1198,,,
1199,,,
1200,2491,LIGARMOR,GLOV
1201,2489,LIGARMOR,SHOU
1202,1151,AXE,EITHER
1203,1175,HAMMER,EITHER
1204,1212,HAMMER,RGHT
1205,1264,GUN,RANGE
1206,1213,HAMMER,RGHT
1207,1233,STAFF,RGHT
1208,2186,NONE,BELT
1209,2066,NONE,BELT
1210,2000,NONE,BELT
1211,2126,NONE,BELT
1212,1279,ASHLD,LEFT
1213,1274,GUN,RANGE
1214,2486,LIGARMOR,BOOT
1215,2487,LIGARMOR,BODY
1216,1178,HAMMER,EITHER
1217,1155,AXE,EITHER
1218,1264,GUN,RANGE
1219,1233,STAFF,EITHER
1220,2187,HEVARMOR,BODY
1221,2067,MEDARMOR,BODY
1222,2001,LIGARMOR,BODY
