Effect Id,Vfx Id,Type,Id,Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,0,2400,Additional DoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,7,0,389,Silence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,2,0,2399,Primary hit from pet on its target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,4,0,2400,Secondary hit from pet on player's target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,7,0,562,Knockdown Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,7,1,54,Knockdown Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,7,0,2401,Fetch impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;Magus Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,0,2421,Crit Chance debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,0,0,Flames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,More Magus Pet abilities at 430-431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Archetype Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Tank Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9,0,123,Damage debuff on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,0,767,Impact from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,0,767,Impact from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;RvR Chicken effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9,0,1334,Chicken feathers VFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Melee DPS Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,0,26,Bleed from Event (non looping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,0,113,Impact from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,0,115,Impact from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2,0,113,Knockdown Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2,1,54,Knockdown Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Ranged DPS Tactics - Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,7,0,45,Snare from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3,0,312,AP Regain on Self from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,7,0,46,Debuff targets defenses from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Tank general abilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Ranged DPS Tactics - Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5,0,768,AP Gain from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5,0,768,AP Gain from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,7,0,123,Block and Disrupt chance debuff from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Healer Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,5,0,768,AP Heal on caster from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,5,0,768,AP Heal on caster from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Archetype Morale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Tank Morale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,6,0,2852,Wave Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2,0,2849,Fighting Ring For duration of effect. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,3,0,2855,Damage output reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2,0,2868,AoE effect that loops for the duration. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,6,0,0,Group Member Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,0,0,Impact from transfer damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Melee DPS Morale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,7,0,694,Armor debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,3,0,2890,Impact of Action Point drain on the target.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2,0,2883,Buff on the caster for Duration. (LOOP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2,0,2886,Buff on Group members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Ranged DPS Morale - Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,11,0,2862,AE Attack from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,12,0,0,Center AE Explosion on ground dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Ranged DPS Morale - Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,7,0,2878,AP Drain and Stat debuff on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,12,0,2873,Center AE Explosion on ground dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,7,0,55,Stun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,7,1,52,Stun Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,0,2872,Looping effect on the caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2,0,2876,Impact effect on target when Caster is attacked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Healer Morale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2,0,765,Heal on self from lifetap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,3,0,684,Healing on group members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,5,0,2846,Group Buff - ablative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,6,0,2848,Resurect on players effected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,6,0,939,Ground decal - 60u radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,12,0,939,Ground decal - 120u radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,; RVR Keep Lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,7,0,2047,"Ballistic Skill, STR, INT debuff on target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,7,0,389,Silence on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,5,0,2051,"Self 100% damage absorb and STR, WS, INT, BS buff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,7,0,2536,"Ballistic Skill, STR, INT debuff on target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,7,0,389,Silence on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,5,0,2193,"Self 100% damage absorb and STR, WS, INT, BS buff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,7,0,2537,"Ballistic Skill, STR, INT debuff on target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,7,0,389,Silence on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,5,0,2530,"Self 100% damage absorb and STR, WS, INT, BS buff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,7,0,1521,"Ballistic Skill, STR, INT debuff on target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,7,0,389,Silence on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,5,0,2532,"Self 100% damage absorb and STR, WS, INT, BS buff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,7,0,1617,"Ballistic Skill, STR, INT debuff on target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,7,0,389,Silence on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,5,0,2529,"Self 100% damage absorb and STR, WS, INT, BS buff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,7,0,1605,"Ballistic Skill, STR, INT debuff on target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,7,0,389,Silence on target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,5,0,2531,"Self 100% damage absorb and STR, WS, INT, BS buff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,7,0,2246,Initiative debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,7,0,1306,DoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,5,0,2050,Self BS and Toughness buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,7,0,1644,Initiative debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,7,0,1352,DoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,5,0,1637,Self BS and Toughness buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,7,0,2284,Initiative debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,7,0,1306,DoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,5,0,2557,Self int and Toughness buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,7,0,2282,Initiative debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,7,0,1352,DoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,5,0,2091,Self int and Toughness buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,7,0,2286,Initiative debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,7,0,1306,DoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,5,0,2534,Self BS and Toughness buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,7,0,2283,Initiative debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,7,0,1352,DoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,5,0,1603,Self int and Toughness buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,7,0,2052,Armor Debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,7,0,2025,Armor Debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,7,0,1406,Damage from pulsing buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,7,0,2602,Armor Debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,7,0,983,Armor Debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,7,0,2088,Damage from pulsing buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;RVR Renown Siege Abilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,5,0,1814,Increased damage done by that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,7,0,1815,Increased build times for that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,7,0,1813,Decreased damage done by that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,5,0,1811,Increased damage done by that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,7,0,1816,Increased build times for that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,7,0,1817,Decreased damage done by that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,5,0,1811,Decreased damage taken by that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,5,0,1812,Removes all debuffs from a siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,5,0,1809,"Channel, 50% less damage taken from ranged siege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,0,1808,"Channel, 50% less damage taken from oil siege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,5,0,1806,Decreases cooldown times of that siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,6,0,1139,Absorb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,0,1805,Heal keep door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,7,0,1803,Damage to siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,9,0,564,Damage to players in AE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,5,0,1800,"Buff that allows the player to interact with postern door, porting them inside keep walls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,5,0,1798,Increased damage to doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,7,0,1801,Damage to siege engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,9,0,560,Damage to players in AE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,5,0,1799,"Buff that allows the player to interact with postern door, porting them inside keep walls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,5,0,1798,Increased damage to doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Racial Stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Racial Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Dwarf Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Greenskin - Orc Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Greenskin - Goblin Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Empire Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0,769,Ablative from event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Chaos Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,5,0,615,Damage shield on caster from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,5,0,615,Damage shield on caster from Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,0,625,Impact from damage shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;High Elves Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,; Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Dark Elves Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,1,0,1131,Heal on self from event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,;Old Racial Morale were scrapped!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1,0,1729,Looping - Planted banner is radiating buffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,3,0,783,Group gains large +Morale for capturing an enemy's Banner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,0,1139,Looping - Immune to dmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,5,0,512,Res effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,7,0,113,Knockdown (for monsters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,7,1,54,Knockdown anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,7,0,767,Minor damage shield dmg to the attacking enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;Environmental effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,9,0,328,Burning (looping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
