NIF,NIF,NIF,Type,,,,,,
102,Quest on,vfx_ICON_QuestGreen,0,,,,,,
103,Quest complete off,vfx_ICON_QuestGrey,0,,,,,,
104,Quest complete on,vfx_ICON_QuestGold,0,,,,,,
105,orc waagh spell projectile impact,vfx_orc_WaaghProjImpact,0,,,,,,
106,Blue AOE rings morale buff,vfx_BUFF_RingWaves_blu,0,,,,,,
107,"dwarf Defence buff, magic shields",vfx_PROT_DwShields,0,,,,,,
108,Green heal smoke for granade,vfx_PYRO_BlastSmoke_grn,0,,,,,,
109,Arrow Projectile,vfx_PROJ_orc_Arrow,0,,,,,,
110,Yellow AOE ring,vfx_AOE_orc_Buff1,0,,,,,,
111,Dark AOE cloud,vfx_AOE_orc_Debuff1,0,,,,,,
112,Blue morale build up 1,vfx_BUFF_Morale1_Hit,0,,,,,,
113,Blue morale build up 2,vfx_BUFF_Morale2_Hit,0,,,,,,
114,Blue morale build up 3,vfx_BUFF_Morale3_Hit,0,,,,,,
115,Blue morale build up 4,vfx_BUFF_Morale4_Hit,0,,,,,,
116,dwarf grenade projectile,vfx_DW_grenadeprojectile,0,,,,,,
117,Generic armor/defence Debuff,vfx_Dbuf_Armor1,0,,,,,,
118,vfx_EART_Impact,vfx_EART_Impact,1,,,,,,
119,IMPACT_AutoAttack,vfx_IMPACT_AutoAttack,0,,,,,,
120,Hit Flash with dirt impact,vfx_HIT_Crush,0,,,,,,
121,Hit Flash with blood,vfx_HIT_BloodPierce,0,,,,,,
122,Slash With Blood trail,vfx_HIT_BloodSingleSlash,0,,,,,,
123,Green Impact w/falling trails,vfx_DBUFF_GRN_ImpactDebuff,0,,,,,,
124,Lingering debuff,vfx_DBUFF_LingeringDbuff,0,,,,,,
125,Lingering debuff Start,vfx_DBUFF_LingeringDbuff_Execute,0,,,,,,
126,Green AOE wave,vfx_AOE_orc_Buff_Green,0,,,,,,
127,Dark  cloud for blind,vfx_DBUFF_CloudBlind,0,,,,,,
128,Light in eyes and sparkles /Blind,vfx_DBUFF_FlashBlind,0,,,,,,
129,Impact for Melee Debuff,vfx_DBUFF_Prpl_ImpactDebuff,0,,,,,,
130,Spikey red Build up for warriors,vfx_Attack_Buildup,0,,,,,,
131,Flameing Arrow Projectile,vfx_PROJ_orc_FireArrow2,0,,,,,,
132,Magic arrow Projectile,vfx_PROJ_orc_MagicArrow1,0,,,,,,
133,Flame arrow Impact,vfx_PROJ_orc_FireArrow_Impact,0,,,,,,
134,Magic arrow impact,vfx_PROJ_orc_MagicArrow_Impact,0,,,,,,
135,Projectile for life drain,vfx_PROJ_Lifedrain,0,,,,,,
136,Build for life drain,vfx_Lifedrain_buildup,0,,,,,,
137,Waaagh Root,vfx_Root_Waagh,0,,,,,,
138,Waagh Slow (mushrooms),vfx_Slow_Waagh_Spell,0,,,,,,
139,Waagh Slow Lingering Cloud,vfx_Slow_Waagh_Linger,0,,,,,,
140,vfx_RUNE_FlashRingBreaking_orn,vfx_RUNE_FlashRingBreaking_orn,1,,,,,,
141,vfx_RUNE_FlashRingStriking_orn,vfx_RUNE_FlashRingStriking_orn,1,,,,,,
142,vfx_RUNE_ArcsRingFlakksons_blu,vfx_RUNE_ArcsRingFlakksons_blu,1,,,,,,
143,vfx_RUNE_ArcsRingFury_blu,vfx_RUNE_ArcsRingFury_blu,1,,,,,,
144,vfx_RUNE_StoneSpellbreaking_blu,vfx_RUNE_StoneSpellbreaking_blu,1,,,,,,
145,vfx_RUNE_BlurInMight_blu,vfx_RUNE_BlurInMight_blu,1,,,,,,
146,vfx_RUNE_SolarRingSmelting,vfx_RUNE_SolarRingSmelting,1,,,,,,
147,vfx_RUNE_StoneLife_blu,vfx_RUNE_StoneLife_blu,1,,,,,,
148,vfx_ELEC_ArcBall,vfx_ELEC_ArcBall,1,,,,,,
149,vfx_ELEC_ArcFlashSparks,vfx_ELEC_ArcFlashSparks,1,,,,,,
150,vfx_ELEC_ZapCloud,vfx_ELEC_ZapCloud,1,,,,,,
151,vfx_LIFE_Resurrect,vfx_LIFE_Resurrect,1,,,,,,
153,WeaponTrail,WeaponTrail,2,,,,,,
154,vfx_ELEC_ArcBallFlash,vfx_ELEC_ArcBallFlash,1,,,,,,
155,Sound Wave effect for Bats,vfx_CONE_SonicBlast,0,,,,,,
156,vfx_ELEC_Lightning,vfx_ELEC_Lightning,1,,,,,,
157,Cone blast of cold ,vfx_CONE_FrostBreath,0,,,,,,
158,Cone blast of Slime ,vfx_CONE_SlimeBreath,0,,,,,,
159,Cone Cloud of Pioson,vfx_CONE_PoisonCloud,0,,,,,,
160,Projectile for Darkness wind,vfx_PROJ_DarknessSkull,0,,,,,,
161,Cone blast of Fire,vfx_CONE_FireBreath,0,,,,,,
162,Soul Leaving a body,vfx_MISC_SoulDeparture,0,,,,,,
163,small Rock Projectile,vfx_PROJ_Stone1,0,,,,,,
164,Root (life magic. Real roots),vfx_SNARE_RootHold,0,,,,,,
165,Roots Retract into ground,vfx_SNARE_RootHold_END,0,,,,,,
166,Wind & leaves Blow around(AOE Life),vfx_AoE_Wind&Leaves,0,,,,,,
167,Root whip attack (DD life),vfx_ATK_GroundRootWhip,0,,,,,,
168,Placeholder for projectiles,vfx_PLACEHOLDER_Projectile,0,,,,,,
169,Place holder for effects not done,vfx_PLACEHOLDER_Swirly,0,,,,,,
170,vfx_EART_Impact2,vfx_EART_Impact2,1,,,,,,
171,Stone or Dirt Impact,vfx_ATK_StoneprojectileImpact,0,,,,,,
172,Wind AE Attack (wing Buffet),vfx_ATK_WingGust,0,,,,,,
173,Web Glob Projectile,vfx_PROJ_WebBall,0,,,,,,
174,Web Impact,vfx_ATK_WebImpact01,0,,,,,,
175,Poison Glob Spit from a creature,vfx_ATK_PoisonGlob,0,,,,,,
176,Poison Glob Impact,vfx_ATK_PoisonImpact,0,,,,,,
177,Wall of Fire,vfx_FIRE_Wall1,0,,,,,,
178,A melee hit from claws,vfx_HIT_BloodClawSlash,0,,,,,,
179,A  white shock  wave on the ground,vfx_MISC_Shockwave,0,,,,,,
180,Tree branch as projectile,vfx_PROJ_BranchSpear,0,,,,,,
181,Call for help,vfx_STAT_CallForHelp,0,,,,,,
182,Aoe quill attack,vfx_AoE_QuillAttack,0,,,,,,
183,BUFF icon for Initiative,vfx_BUFF_Icon_Initiative,0,,,,,,
184,BUFF icon for intelligence,vfx_BUFF_Icon_Intelligence,0,,,,,,
185,BUFF icon for strength,vfx_BUFF_Icon_Strength,0,,,,,,
186,BUFF icon for toughness,vfx_BUFF_Icon_Toughness,0,,,,,,
187,BUFF icon for weapon skill,vfx_BUFF_Icon_WeaponSkill,0,,,,,,
188,BUFF icon for willpower,vfx_BUFF_Icon_Willpower,0,,,,,,
189,BUFF icon for wounds,vfx_BUFF_Icon_Wounds,0,,,,,,
190,BUFF icon for agility,vfx_BUFF_Icon_Agility,0,,,,,,
191,BUFF icon for ballistic skill,vfx_BUFF_Icon_BallisticSkill,0,,,,,,
192,vfx_ELEC_ArcDisk,vfx_ELEC_ArcDisk,1,,,,,,
193,deBUFF icon for strength,vfx_DBUF_Icon_Strength,0,,,,,,
194,deBUFF icon for toughness,vfx_DBUF_Icon_Toughness,0,,,,,,
195,deBUFF icon for weapon skill,vfx_DBUF_Icon_WeaponSkill,0,,,,,,
196,deBUFF icon for willpower,vfx_DBUF_Icon_Willpower,0,,,,,,
197,deBUFF icon for wounds,vfx_DBUF_Icon_Wounds,0,,,,,,
198,deBUFF icon for agility,vfx_DBUF_Icon_Agility,0,,,,,,
199,deBUFF icon for ballistic skill,vfx_DBUF_Icon_BallisticSkill,0,,,,,,
200,deBUFF icon for Initiative,vfx_DBUF_Icon_Initiative,0,,,,,,
201,deBUFF icon for intelligence,vfx_DBUF_Icon_Intelligence,0,,,,,,
202,Multiple impacts hitting a target fast,vfx_IMP_MutiHit,0,,,,,,
203,Bullet for gun Projectile,vfx_PROJ_BulletProjectile,0,,,,,,
204,Aoe cloud of attacking SQUIGS,vfx_SquigCloud,0,,,,,,
205,vfx_OPTI_3XShockRings1_blu,vfx_OPTI_3XShockRings1_blu,1,,,,,,
206,morale big impact,vfx_ATK_MORAL_CrushImpact,0,,,,,,
207,morale big blood impact,vfx_ATK_MORAL_BloodImpact,0,,,,,,
208,vfx_BUFF_Or_RageGather,vfx_BUFF_Or_RageGather,1,,,,,,
209,vfx_BUFF_Or_WaaaghGather,vfx_BUFF_Or_WaaaghGather,1,,,,,,
210,Webbing root around legs,vfx_ROOT_WebbingRoot,0,,,,,,
211,Swirl of darkness magic,vfx_BUF_DarknessSwirl,0,,,,,,
212,vfx_BUFF_Or_MeleeGather,vfx_BUFF_Or_MeleeGather,1,,,,,,
213,vfx_BUFF_Dw_MeleeGather,vfx_BUFF_Dw_MeleeGather,1,,,,,,
214,Throwing Axe Projectile,vfx_PROJ_ThrowingAxe,0,,,,,,
215,Throwing Hammer Projectile,vfx_PROJ_ThrowingHammer,0,,,,,,
216,vfx_STAT_Fear,vfx_STAT_Fear,1,,,,,,
217,Spectral Attack Impact,vfx_IMPACT_Spectral Attack,0,,,,,,
218,Level Up effect,vfx_gen_LevelUP,0,,,,,,
219,Cold cloud AOE,vfx_AoE_IceBlast,0,,,,,,
220,Ice Projectile,vfx_PROJ_IceBolt,0,,,,,,
221,Ice Root,vfx_ROOT_IceBlock,0,,,,,,
222,Death effect for ghostly undead part1,vfx_SpiritDeath_Root,0,,,,,,
223,Death effect for ghostly undead part2,vfx_SpiritDeath_Chest,0,,,,,,
224,Barrel falls and Beer explodes out,vfx_QI_BarrelBreak,0,,,,,,
225,Death Dot Purple lingering cloud,vfx_DoT_DeathDoT,0,,,,,,
226,Spirit attack Swirling trails with impacts,vfx_ATK_SpiritAttack1,0,,,,,,
227,Auto attack impact,vfx_HIT_StandardLightOrangeImpact,0,,,,,,
228,"Smoke from fire, small",vfx_QI_smok_smolderingblacksmoke,0,,,,,,
229,"smoke from fire, big",vfx_QI_smok_smolderingcampfire_large,0,,,,,,
230,Steam jet,vfx_QI_vapo_steamjet,0,,,,,,
231,LArge fire with smoke,vfx_QI_FireBlackSmoke,0,,,,,,
232,"small fire, torch size",vfx_QI_pyro_torchfire,0,,,,,,
233,Debuff Impact with purple Sparks,vfx_DBUFF_Prpl_ImpactDebuff_02,0,,,,,,
234,Taunt,vfx_MISC_Taunt,0,,,,,,
235,Red hand glow,vfx_BUFF_RedHandGlow,0,,,,,,
236,yellow hand glow,vfx_BUFF_GoldHandGlow,0,,,,,,
237,purple hand glow,vfx_DBUFF_PrplSwirlsHandGlow,0,,,,,,
238,white Flare on weapon,vfx_BUFF_Weapon_WhiteFlare,0,,,,,,
239,Red Weapon flare,vfx_BUFF_Weapon_RedFlarePulse,0,,,,,,
240,Waagh Big firey glow ,vfx_ORC_WaaghAura,0,,,,,,
241,Red eye glow for rage,vfx_ORC_EyeGlow_Red,0,,,,,,
242,green eye glow for waagh,vfx_ORC_EyeGlow_Green,0,,,,,,
243,waagh glow smaller size,vfx_GOB_WaaghAura,0,,,,,,
244,Buff Icon for Armor/defence,vfx_BUFF_Icon_Defense,0,,,,,,
245,Aura that goes with aromor icon,vfx_BUFF_DefenseAura,0,,,,,,
246,Magic resist aura,vfx_BUFF_DefenseAuraMagic,0,,,,,,
247,Rage firey glow off shoulders,vfx_BUFF_Rage_Body,0,,,,,,
248,Grudge static symbol,vfx_SYMB_Grudge_Static,0,,,,,,
249,vfx_RUNE_HotStrikeGrudge,vfx_RUNE_HotStrikeGrudge,1,,,,,,
250,CTF Red flag holder icon,vfx_ICON_PVP_Flag_red,0,,,,,,
251,CTF Blue flag holder icon,vfx_ICON_PVP_Flag_blue,0,,,,,,
252,Sparkles for corpse that can be looted,vfx_misc_lootsparkles,0,,,,,,
253,Med fire with smoke,vfx_QI_FireBlackSmoke_02,0,,,,,,
254,Streaks out red,vfx_LGHT_StreaksOut_Red,0,,,,,,
255,streaks up red (1 of 3),vfx_LGHT_Streaks2_Red,0,,,,,,
256,animated glow_red(2 of 3),vfx_LGHT_AnimatedGlow_Red,0,,,,,,
257,suroundng swils red(3 of 3),vfx_LGHT_SurroundingSwirls_Red,0,,,,,,
258,Ballistic ground Hit,vfx_ATK_SmallBallisticsGroundhit,0,,,,,,
259,Streak of yellow with glow (1of 2),vfx_LGHT_Streaks&Glow_Gold,0,,,,,,
260,Swirls of yellow light (2 of 2 ),vfx_LGHT_SurroundingSwirls_Gold,0,,,,,,
261,Huge Explosion,vfx_ATK_LargeExplosion,0,,,,,,
262,Debuff Icon for Armor/defence ,vfx_DBUF_Icon_Defense,0,,,,,,
263,Tactics actiavtion Icon,vfx_BUFF_Icon_Tactics,0,,,,,,
264,Grenade Barrage effect,vfx_DW_MORAL_GrenadeToss,0,,,,,,
265,Firey impact,vfx_ATK_FlameImpact,0,,,,,,
266,Damage effect for Barb ,vfx_ATK_GrudgeDamage,0,,,,,,
267,Grudge Barb Oribting runes,vfx_BUFF_OrbitingGrudgeRunes,0,,,,,,
268,Large Flash grenade Bang,vfx_DBUFF_LargeFlash,0,,,,,,
269,Fire DoT lingering,vfx_DoT_FireDamage,0,,,,,,
270,Shrapnel and hot aoe wave,vfx_AoE_Shrapnel,0,,,,,,
271,Damage Barb / lingering genaric,vfx_BUFF_DamageSpear,0,,,,,,
272,Big explosion with fire ring aoe,vfx_ATK_IncindiaryExplosion,0,,,,,,
273,Big explosion for engineer bomb,vfx_QI_engineers_bomExplosionb,0,,,,,,
274,Blast from a cannon,vfx_ATK_CannonBlast,0,,,,,,
275,Sprint Activate,vfx_BUFF_Sprint,0,,,,,,
276,Red Sonic Rings,vfx_CONE_SonicBlast_Red,0,,,,,,
277,Large Rune AoE Orange,vfx_AOE_OrangeRuneAoE,0,,,,,,
278,Large Rune AoE Blue,vfx_AOE_BlueLifeRuneAoE,0,,,,,,
279,Blue Blast ring AoE,vfx_AOE_LIghtBlueblastring,0,,,,,,
280,Yellow Blast Ring AoE,vfx_AOE_Yellowblastring,0,,,,,,
281,white Flare,vfx_BUFF_LightFlareWhitePiece,0,,,,,,
282,Staff Empowerment,vfx_ITEM_StaffEmpowerment,0,,,,,,
283,Wavey Aura Delayed White,vfx_BUFF_WaveyAuraWhiteDelayed,0,,,,,,
284,Rune Brandish 1,vfx_CAST_Brandish,0,,,,,,
285,Life Rune changing to Streaks,vfx_BUFF_LifeRunetoStreaksPiece,0,,,,,,
286,Blue Ring Delayed,vfx_BUFF_BlueRingDelayed,0,,,,,,
287,Time Bomb Explosion,vfx_PYRO_FragbombExplosion,0,,,,,,
288,Oath Rune Stone Cast,vfx_BUFF_OathRune_Stone,0,,,,,,
289,Oath Rune Stone Used,vfx_BUFF_OathRuneUsed_Stone,0,,,,,,
290,Oath Rune Cast_Sanctuary,vfx_BUFF_OathRune_SanctuaryRune,0,,,,,,
291,Oath Rune Used Flakksons,vfx_BUFF_OathRuneUsed_FlakksonsRune,0,,,,,,
292,Detaunt ,vfx_MISC_DeTaunt,0,,,,,,
293,AOE_Thundering Blast,vfx_AOE_ThunderingBlast,0,,,,,,
294,Runic Debuff Body Purple,vfx_DBUF_RunicDebuff,0,,,,,,
295,Movement Debuff,vfx_DBUF_MovementImpairment,0,,,,,,
296,Silence effect TARGET,vfx_DBUF_Silence,0,,,,,,
297,Life Sapping Wave,vfx_MORAL_SappingWave,0,,,,,,
298,Smoke Grenade Impact,vfx_ATK_SmokeGrenadeImpact,0,,,,,,
299,Arrow Root Cast,vfx_orc_ArrowRoot_Fire,0,,,,,,
300,Squig Cannon Ball,vfx_grn_SquigBarrage,0,,,,,,
301,Shoot Through Ya Conical Shooting,vfx_orc_ShootThroughYa_Cast,0,,,,,,
302,Mushroom Projectile,vfx_PROJ_MushroomProjectile,0,,,,,,
303,Spike Projectile,vfx_PROJ_Spike,0,,,,,,
304,Morkain Piller Mist,vfx_SCN_MorkainPillarEmission,0,,,,,,
305,Orc Alter Mist,vfx_SCN_OrcAltarEnergy_Pulse,0,,,,,,
306,firepillar,vfx_atk_firepillar,0,,,,,,
307,fireimpact_light,vfx_ATK_FlameImpact_Light,0,,,,,,
308,fireimpact_med,vfx_ATK_FlameImpact_MED,0,,,,,,
309,Purifyingflames,vfx_buff_Purifyingflames,0,,,,,,
310,fireshield,vfx_buff_fireshield,0,,,,,,
311,fireball,vfx_proj_fireball_1,0,,,,,,
312,searingembers,vfx_proj_searingembers,0,,,,,,
313,searingembers_Single,vfx_proj_searingembers_Single,0,,,,,,
314,ClingingChaos,vfx_DBUF_ClingingChaos_Status,0,,,,,,
315,ClingingChaos_Legs,vfx_DBUF_ClingingChaos_Legs,0,,,,,,
316,ChaosFireball_Blue,vfx_PROJ_ChaosFireball_Blue,0,,,,,,
317,EmpireHeal_AfterTwinkle,vfx_BUF_EmpireHeal_AfterTwinkle,0,,,,,,
318,EmpireHeal_TwistingStreaks,vfx_BUF_EmpireHeal_TwistingStreaks,0,,,,,,
319,EmpireHeal_light,vfx_BUF_EmpireHeal_light,0,,,,,,
320,EMP_HammerGlow,vfx_BUFF_EMP_HammerGlow,0,,,,,,
321,EMP_FootRing,vfx_BUFF_EMP_FootRing,0,,,,,,
322,EMP_HammerDrawIn,vfx_BUFF_EMP_HammerDrawIn,0,,,,,,
323,OrcAltarEnergy_Looping,vfx_SCN_OrcAltarEnergy_Looping,0,,,,,,
324,ChaosHeal_Light,vfx_BUFF_ChaosHeal_Light,0,,,,,,
325,ChaosHeal_TwistingStreaks,vfx_BUFF_ChaosHeal_TwistingStreaks,0,,,,,,
326,ChaosHeal_Aftertwinkles,vfx_BUFF_ChaosHeal_Aftertwinkles,0,,,,,,
327,ChaosDarkGlory,vfx_BUF_ChaosDarkGlory,0,,,,,,
328,ICON_Quest_Bomb,vfx_ICON_Quest_Bomb,0,,,,,,
329,FirePillar_Gray,vfx_ATK_Chaos_Pillar_01,0,,,,,,
330,RendingWinds,vfx_ATK_RendingWinds,0,,,,,,
331,ChaosFireball_Red,vfx_PROJ_ChaosFireball_Red,0,,,,,,
332,FireCage,vfx_ROOT_FireCage,0,,,,,,
333,FireBallBuildup_Blue,vfx_CAST_FireBallBuildup_Blue,0,,,,,,
334,FireBallBuildup,vfx_CAST_FireBallBuildup,0,,,,,,
335,Melt armor,vfx_CAST_BrightwizardCast,0,,,,,,
336,BWStaffBuild,vfx_CAST_BWStaffBuild,0,,,,,,
337,BWStaffFlareup,vfx_CAST_BWStaffFlareup,0,,,,,,
338,BWStaffFirering,vfx_CAST_BWStaffFirering,0,,,,,,
339,BWStaffFireCrawl,vfx_CAST_BWStaffFireCrawl,0,,,,,,
340,vfx_jerO_flametrail,vfx_jerO_flametrail,2,,,,,,
341,Anim_Buildup,Anim_Build,0,,,,,,
342,Anim_Activate,Anim_Activate,0,,,,,,
343,Anim_Casting,Anim_Fire,0,,,,,,
344,Anim_Projectile,Anim_Firehit,0,,,,,,
345,Anim_Impact,Anim_Hit,0,,,,,,
346,Anim_AOE,Anim_AOE,0,,,,,,
347,Anim_Looping,Anim_Channel,0,,,,,,
348,,,,,,,,,
349,,,,,,,,,
350,AcidImpact_Ground,vfx_IMP_AcidImpact,0,,,,,,
351,HugeTowerCast,vfx_AMB_HugeTowerCast,0,,,,,,
352,ChaosFireball_Green,vfx_PROJ_ChaosFireball_Green,0,,,,,,
353,ChaosFireball_Yellow,vfx_PROJ_ChaosFireball_Yellow,0,,,,,,
354,FireBallBuildup_Green,vfx_CAST_FireBallBuildup_Green,0,,,,,,
355,FireBallBuildup_Red,vfx_CAST_FireBallBuildup_Red,0,,,,,,
356,FireBallBuildup_Yellow,vfx_CAST_FireBallBuildup_Yellow,0,,,,,,
357,ChaosFireball_Green_Holding,vfx_PROJ_ChaosFireball_Green_Holding,0,,,,,,
358,ChaosFireball_Red_Holding,vfx_PROJ_ChaosFireball_Red_Holding,0,,,,,,
359,ChaosFireball_Yellow_Holding,vfx_PROJ_ChaosFireball_Yellow_Holding,0,,,,,,
360,ChaosFireball_Blue_Holding,vfx_PROJ_ChaosFireball_Blue_Holding,0,,,,,,
361,FlameImpact_Red,vfx_ATK_FlameImpact_Red,0,,,,,,
362,FlameImpact_Blue,vfx_ATK_FlameImpact_Blue,0,,,,,,
363,FlameImpact_Yellow,vfx_ATK_FlameImpact_Yellow,0,,,,,,
364,FlameImpact_Green,vfx_ATK_FlameImpact_Green,0,,,,,,
