,,,,0,Buff,Build Up,Action,Special,Play,Mount Build,MountAction,ActivateAgro,Suppress,Force in phase to be ## seconds,Max Playback Rate,,,,
110,Endless Knowledge,,,22695,22695,,32,110,1,,,0,,,,,,,
111,Swiftness,,,147,147,,32,111,1,,,0,,,,,,,
112,I Stand Alone,,,147,147,,32,112,1,,,0,,,,,,,
113,Tap The Winds,,,147,147,,32,113,1,,,0,,,,,,,
114,Sleight Of Hand,,,22708,22708,,32,114,1,,,0,,,,,,,
115,Devour Energy,,,22704,22704,,32,115,1,,,0,,,,,,,
116,Close Quarters,,,22694,22694,,32,116,1,,,0,,,,,,,
117,Recover Power,,,147,147,,32,117,1,,,0,,,,,,,
118,Forceful Conduit,,,147,147,,32,118,1,,,0,,,,,,,
119,,,,,,,99,119,1,,,1,,,,,,,
120,,,,,,,99,120,1,,,1,,,,,,,
;,;Pet ability queuing shells,,,,,,,,,,,,,,,,,,
121,Bite,,,13448,13448,,0,121,1,,,1,1,,,,,,
122,Claw Sweep,,,13449,13449,,0,122,1,,,1,1,,,,,,
123,Terrifying Roar,,,13450,13450,,0,123,1,,,1,1,,,,,,
124,Lion's Roar,,,13451,13451,,0,124,1,,,1,1,,,,,,
125,Shred,,,13452,13452,,0,125,1,,,1,1,,,,,,
126,Leg Tear,,,13453,13453,,0,126,1,,,1,1,,,,,,
127,Fang And Claw,,,13454,13454,,0,127,1,,,1,1,,,,,,
128,Maul,,,13455,13455,,0,128,1,,,1,1,,,,,,
129,Gut Ripper ,,,13456,13456,,0,129,1,,,1,1,,,,,,
;,;Healer Tactics,,,,,,99,;,1,,,1,,,,,,,
130,Infinite Knowledge,,,147,147,,32,130,1,,,0,,,,,,,
131,Divine Fury,,,22703,22703,,32,131,1,,,0,,,,,,,
132,,,,147,147,,32,132,1,,,0,,,,,,,
133,Infusion Of Power,,,147,147,,32,133,1,,,0,,,,,,,
134,Subtlety,,,22709,22709,,32,134,1,,,0,,,,,,,
135,Restorative Burst,,,22694,22694,,32,135,1,,,0,,,,,,,
136,Aggressive Focus,,,147,147,,32,136,1,,,0,,,,,,,
137,Reabsorption,,,147,147,,32,137,1,,,0,,,,,,,
138,Discipline,,,22706,22706,,32,138,1,,,0,,,,,,,
139,,,,,,,99,139,1,,,1,,,,,,,
140,,,,,,,99,140,1,,,1,,,,,,,
141,,,,,,,99,141,1,,,1,,,,,,,
;,;Pet ability queuing shells,,,,,,,,,,,,,,,,,,
142,Death From Above,,,2605,2605,,0,142,1,,,1,1,,,,,,
143,Spine Fling,,,2610,2610,,0,143,1,,,1,1,,,,,,
144,Poisoned Spine,,,2628,2628,,0,144,1,,,1,1,,,,,,
145,Gore,,,2607,2607,,0,145,1,,,1,1,,,,,,
146,Head Butt,,,2606,2606,,0,146,1,,,1,1,,,,,,
147,Goop Shootin',,,2609,2609,,0,147,1,,,1,1,,,,,,
148,Spore Cloud,,,2627,2627,,0,148,1,,,1,1,,,,,,
149,Squig Squeal,,,2522,2522,,0,149,1,,,1,1,,,,,,
;,;Archetype Morale,,,,,,99,;,1,,,1,,,,,,,
;,;Tank Morale,,,,,,99,;,1,,,1,,,,,,,
150,Demolishing Strike,,,23172,23172,,68,150,1,,,1,,,,,,,
151,Raze,,CAE DoT,23176,23176,,33,151,1,,,1,,,,,,,
152,Grapple,,Debuff root,23174,23174,,71,152,1,,,1,,0.5,,,,,
153,,,,,,,,153,,,,1,,,,,,,
154,Distracting Below,,Buff minus threat,23173,23173,,75,154,1,,,1,,,,,,,
155,Shield Wall,,Self buff +block,23177,23177,,75,155,1,,,1,,,,,,,
156,,,,,,,,156,,,,1,,,,,,,
157,Immaculate Defense,,Group buff less dmg,23175,23175,,73,157,1,,,1,,,,,,,
;,;Greenskin tank Keep Lords,,,,,,,,,,,,,,,,,,
158,Pierce,,,2497,2497,,99,158,1,,,1,,,,,,,
159,Rupture Organ,,,2497,2497,,99,159,1,,,1,,,,,,,
160,Shatter Will,,,2497,2497,,99,160,1,,,1,,,,,,,
161,Implacable Resolve,,,2497,2497,,99,161,1,,,1,,,,,,,
162,Iron Body,,,2497,2497,,99,162,1,,,1,,,,,,,
;,;Dwarf tank Keep Lords,,,,,,,,,,,,,,,,,,
163,Pierce,,,2497,2497,,99,163,1,,,1,,,,,,,
164,Rupture Organ,,,2497,2497,,99,164,1,,,1,,,,,,,
165,Shatter Will,,,2497,2497,,99,165,1,,,1,,,,,,,
166,Implacable Resolve,,,2497,2497,,99,166,1,,,1,,,,,,,
167,Iron Body,,,2497,2497,,99,167,1,,,1,,,,,,,
168,,,,,,,,168,,,,1,,,,,,,
169,,,,,,,,169,,,,1,,,,,,,
;,;Melee DPS Morale,,,,,,,;,,,,1,,,,,,,
170,Sever Nerve,,Rear/side melee DoT and debuff,23161,23161,,68,170,1,,,1,,,,,,,
171,Force Of Will,,Self buff dispel taunts/detaunts,23158,23158,,75,171,1,,,1,,,,,,,
172,Broad Swings,,Self buff dmg modifier,23156,23156,,73,172,1,,,1,,,,,,,
173,Frenzied Slaughter,,Self buff reduce AP cost and +dmg,23159,23159,,73,173,1,,,1,,,,,,,
174,Confusing Movements,,Self buff melee atk=no hate,23157,23157,,75,174,1,,,1,,,,,,,
175,,,,,,,,175,,,,1,,,,,,,
176,Relentless Assault,,Group buff dispel all movement debuffs,23160,23160,,70,176,1,,,1,,,,,,,
177,,,,,,,,177,,,,1,,,,,,,
;,;Empire tank Keep Lords,,,,,,,,,,,,,,,,,,
178,Pierce,,,2497,2497,,99,178,1,,,1,,,,,,,
179,Rupture Organ,,,2497,2497,,99,179,1,,,1,,,,,,,
180,Shatter Will,,,2497,2497,,99,180,1,,,1,,,,,,,
181,Implacable Resolve,,,2497,2497,,99,181,1,,,1,,,,,,,
182,Iron Body,,,2497,2497,,99,182,1,,,1,,,,,,,
;,;Chaos tank Keep Lords,,,,,,,,,,,,,,,,,,
183,Pierce,,,2497,2497,,99,183,1,,,1,,,,,,,
184,Rupture Organ,,,2497,2497,,99,184,1,,,1,,,,,,,
185,Shatter Will,,,2497,2497,,99,185,1,,,1,,,,,,,
186,Implacable Resolve,,,2497,2497,,99,186,1,,,1,,,,,,,
187,Iron Body,,,2497,2497,,99,187,1,,,1,,,,,,,
188,,,,,,,,188,,,,1,,,,,,,
189,,,,,,,,189,,,,1,,,,,,,
;,;Ranged DPS Morale - Bow,,,,,,,;,,,,1,,,,,,,
190,Point-Blank,,Atk deals dmg and knock back,23165,23165,,71,190,1,,,1,1,0.5,,,,,
191,Unshakable Focus,,Self Buff dispel taunts/detaunts,23166,23166,,75,191,1,,,1,1,,,,,,
192,Explosive Shots,,Self buff range atk = targeted AE,23163,23163,,73,192,1,,,1,1,,,,,,
193,Hail Of Doom,,Channeled GTAE DoT,23164,23164,,72,193,1,,,1,1,0.5,,,,,
194,Concealment,,Self Buff range atk = no hate,23162,23162,,70,194,1,,,1,1,,,,,,
195,Focused Mind,,"Self Buff immune to silence, disarm..etc",23153,23153,,70,195,1,,,1,1,,,,,,
196,,,,,,,,196,,,,1,,,,,,,
197,,,,,,,,197,,,,1,,,,,,,
;,;High Elf tank Keep Lords,,,,,,,,,,,,,,,,,,
198,Pierce,,,2497,2497,,99,198,1,,,1,,,,,,,
199,Rupture Organ,,,2497,2497,,99,199,1,,,1,,,,,,,
200,Shatter Will,,,2497,2497,,99,200,1,,,1,,,,,,,
201,Implacable Resolve,,,2497,2497,,99,201,1,,,1,,,,,,,
202,Iron Body,,,2497,2497,,99,202,1,,,1,,,,,,,
;,;Dark Elf tank Keep Lords,,,,,,,,,,,,,,,,,,
203,Pierce,,,2497,2497,,99,203,1,,,1,,,,,,,
204,Rupture Organ,,,2497,2497,,99,204,1,,,1,,,,,,,
205,Shatter Will,,,2497,2497,,99,205,1,,,1,,,,,,,
206,Implacable Resolve,,,2497,2497,,99,206,1,,,1,,,,,,,
207,Iron Body,,,2497,2497,,99,207,1,,,1,,,,,,,
208,,,,,,,,208,,,,1,,,,,,,
209,,,,,,,,209,,,,1,,,,,,,
;,;Ranged DPS Morale - Magic,,,,,,,;,,,,1,,,,,,,
210,Siphon Power,,Drain 200 AP from target and give to charater,23170,23170,,74,210,1,,,1,,,,,,,
211,Mage Bolt,,Self Buff - Dispel all Taunts/Detaunts,23167,23167,,72,211,1,,,1,,0.5,,,,,
212,Scintillating Energy,,Target takes dmg + stun for 7s,23169,23169,,75,212,1,,,1,,,,,,,
213,Unleash The Winds,,PBAE that deals (HL*6) and knocks back enemies,23171,23171,,70,213,1,,,1,,,,,,,
214,Misdirection,,Self buff Magic attacks = no hate for 10s,23168,23168,,75,214,1,,,1,,,,,,,
215,Focused Mind,,"Self buff immune to silence, disarm…etc",23153,23153,,70,215,1,,,1,,,,,,,
216,,,,,,,,216,,,,1,,,,,,,
217,,,,,,,,217,,,,1,,,,,,,
;,;Greenskin ranged DPS Keep Lords,,,,,,,,,,,,,,,,,,
218,Sure Shot,,,2497,2497,,99,218,1,,,1,,,,,,,
219,Clip Tendon,,,2497,2497,,99,219,1,,,1,,,,,,,
220,Debilitation,,,2497,2497,,99,220,1,,,1,,,,,,,
221,Arterial Strike.,,,2497,2497,,99,221,1,,,1,,,,,,,
222,Incantation of Presence,,,2497,2497,,99,222,1,,,1,,,,,,,
;,;Dwarf ranged DPS Keep Lords,,,,,,,,,,,,,,,,,,
223,Sure Shot,,,2497,2497,,99,223,1,,,1,,,,,,,
224,Clip Tendon,,,2497,2497,,99,224,1,,,1,,,,,,,
225,Debilitation,,,2497,2497,,99,225,1,,,1,,,,,,,
226,Arterial Strike.,,,2497,2497,,99,226,1,,,1,,,,,,,
227,Incantation of Presence,,,2497,2497,,99,227,1,,,1,,,,,,,
228,,,,,,,,228,,,,1,,,,,,,
229,,,,,,,,229,,,,1,,,,,,,
;,;Healer Morale,,,,,,,;,,,,1,,,,,,,
230,Steal Life,,Magic Attack DoT. Self-Heals 50% of dmg,23155,23155,,74,230,1,,,1,,,,,,,
231,,,,,,,,231,,,,1,,,,,,,
232,Rampaging Siphon,,PBAE that deals (HL*2) and heals the group,23154,23154,,74,232,1,,,1,,,,,,,
233,,,,,,,,233,,,,1,,,,,,,
234,Divine Favor,,Self Buff Healing abilities = no hate for 10s,23151,23151,,73,234,1,,,1,,,,,,,
235,Focused Mind,,"Self buff immune to silence, disarm…etc",23153,23153,,70,235,1,,,1,,,,,,,
236,Divine Protection,,Group Buff ablative sbsorbs melee dmg,23152,23152,,73,236,1,,,1,,,,,,,
237,Alter Fate,,PBAE Resurrection,23150,23150,,73,237,1,,,1,,,,,,,
;,;Empire ranged DPS Keep Lords,,,,,,,,,,,,,,,,,,
238,Scathe,,,2497,2497,,99,238,1,,,1,,,,,,,
239,Arcane Scourging,,,2497,2497,,99,239,1,,,1,,,,,,,
240,Word of Command,,,2497,2497,,99,240,1,,,1,,,,,,,
241,Caustic Torrent,,,2497,2497,,99,241,1,,,1,,,,,,,
242,Cunning Rumination ,,,2497,2497,,99,242,1,,,1,,,,,,,
;,;Chaos ranged DPS Keep Lords,,,,,,,,,,,,,,,,,,
243,Scathe,,,2497,2497,,99,243,1,,,1,,,,,,,
244,Arcane Scourging,,,2497,2497,,99,244,1,,,1,,,,,,,
245,Word of Command,,,2497,2497,,99,245,1,,,1,,,,,,,
246,Caustic Torrent,,,2497,2497,,99,246,1,,,1,,,,,,,
247,Cunning Rumination ,,,2497,2497,,99,247,1,,,1,,,,,,,
248,,,,,,,,248,,,,1,,,,,,,
249,,,,,,,,249,,,,1,,,,,,,
;,;Racial Stuff,,,,,,,;,,,,1,,,,,,,
;,;Racial Tactics,,,,,,,;,,,,1,,,,,,,
;,;Dwarf Tactics,,,,,,,;,,,,1,,,,,,,
250,Stoutness Of Stone,,,22711,22711,,32,250,1,,,0,,,,,,,
251,Stubbornness,,,22711,22711,,32,251,1,,,0,,,,,,,
252,Earthen Protection,,,22711,22711,,32,252,1,,,0,,,,,,,
253,Ancestral Inheritance,,,22711,22711,,32,253,1,,,0,,,,,,,
254,Unyielding Purpose,,,22711,22711,,32,254,1,,,0,,,,,,,
;,;High Elf ranged DPS Keep Lords,,,,,,,,,,,,,,,,,,
255,Sure Shot,,,2497,2497,,99,255,1,,,1,,,,,,,
256,Clip Tendon,,,2497,2497,,99,256,1,,,1,,,,,,,
257,Debilitation,,,2497,2497,,99,257,1,,,1,,,,,,,
258,Arterial Strike.,,,2497,2497,,99,258,1,,,1,,,,,,,
259,Incantation of Presence,,,2497,2497,,99,259,1,,,1,,,,,,,
;,;Dark Elf ranged DPS Keep Lords,,,,,,,,,,,,,,,,,,
260,Scathe,,,2497,2497,,99,260,1,,,1,,,,,,,
261,Arcane Scourging,,,2497,2497,,99,261,1,,,1,,,,,,,
262,Word of Command,,,2497,2497,,99,262,1,,,1,,,,,,,
263,Caustic Torrent,,,2497,2497,,99,263,1,,,1,,,,,,,
264,Cunning Rumination ,,,2497,2497,,99,264,1,,,1,,,,,,,
;,;Greenskin healer Keep Lords,,,,,,,,,,,,,,,,,,
265,Rite of Vengence,,,2497,2497,,99,265,1,,,1,,,,,,,
266,Quell Suffering,,,2497,2497,,99,266,1,,,1,,,,,,,
267,Shield of Piety,,,2497,2497,,99,267,1,,,1,,,,,,,
268,Baleful Affliction,,,2497,2497,,99,268,1,,,1,,,,,,,
269,Convalesce,,,2497,2497,,99,269,1,,,1,,,,,,,
;,;Greenskin - Orc Tactics,,,,,,99,;,1,,,1,,,,,,,
270,I'm Da Biggest!,,,22707,22707,,32,270,1,,,0,,,,,,,
271,Don't Bother Me None,,,22707,22707,,32,271,1,,,0,,,,,,,
272,Green Is Best!,,,22707,22707,,32,272,1,,,0,,,,,,,
273,Tough As Sumfink Wot's Really Tough,,,22707,22707,,32,273,1,,,0,,,,,,,
274,Bleedin's For Wimps,,,22707,22707,,32,274,1,,,0,,,,,,,
275,Stab You Gooder,,,22707,22707,,32,275,1,,,0,,,,,,,
;,;Dwarf healer Keep Lords,,,,,,,,,,,,,,,,,,
276,Rite of Vengence,,,2497,2497,,99,276,1,,,1,,,,,,,
277,Quell Suffering,,,2497,2497,,99,277,1,,,1,,,,,,,
278,Shield of Piety,,,2497,2497,,99,278,1,,,1,,,,,,,
279,Baleful Affliction,,,2497,2497,,99,279,1,,,1,,,,,,,
280,Convalesce,,,2497,2497,,99,280,1,,,1,,,,,,,
;,;Empire healer Keep Lords,,,,,,,,,,,,,,,,,,
281,Impel Agony,,,2497,2497,,99,281,1,,,1,,,,,,,
282,Impose Suffering,,,2497,2497,,99,282,1,,,1,,,,,,,
283,Incite Torment,,,2497,2497,,99,283,1,,,1,,,,,,,
284,Parasitic Aura,,,2497,2497,,99,284,1,,,1,,,,,,,
285,Reclaim Vitae,,,2497,2497,,99,285,1,,,1,,,,,,,
286,,,,,,,99,286,1,,,1,,,,,,,
287,,,,,,,99,287,1,,,1,,,,,,,
288,,,,,,,99,288,1,,,1,,,,,,,
289,,,,,,,99,289,1,,,1,,,,,,,
;,;Greenskin - Goblin Tactics,,,,,,99,;,1,,,1,,,,,,,
290,Big Smarts,,,22707,22707,,32,290,1,,,0,,,,,,,
291,Too Smart For Dat,,,22707,22707,,32,291,1,,,0,,,,,,,
292,Much Good Green,,,22707,22707,,32,292,1,,,0,,,,,,,
293,RUN AWAY!,,,22707,22707,,69,293,1,,,0,,,,,,,
294,Nervous Energy,,,22707,22707,,32,294,1,,,0,,,,,,,
295,Whazat behind you?!,,,22707,22707,,32,295,1,,,0,,,,,,,
;,;Chaos healer Keep Lords,,,,,,,,,,,,,,,,,,
296,Rite of Vengence,,,2497,2497,,99,296,1,,,1,,,,,,,
297,Quell Suffering,,,2497,2497,,99,297,1,,,1,,,,,,,
298,Shield of Piety,,,2497,2497,,99,298,1,,,1,,,,,,,
299,Baleful Affliction,,,2497,2497,,99,299,1,,,1,,,,,,,
300,Convalesce,,,2497,2497,,99,300,1,,,1,,,,,,,
;,;High Elf healer Keep Lords,,,,,,,,,,,,,,,,,,
301,Rite of Vengence,,,2497,2497,,99,301,1,,,1,,,,,,,
302,Quell Suffering,,,2497,2497,,99,302,1,,,1,,,,,,,
303,Shield of Piety,,,2497,2497,,99,303,1,,,1,,,,,,,
304,Baleful Affliction,,,2497,2497,,99,304,1,,,1,,,,,,,
305,Convalesce,,,2497,2497,,99,305,1,,,1,,,,,,,
306,,,,,,,99,306,1,,,1,,,,,,,
307,,,,,,,99,307,1,,,1,,,,,,,
308,,,,,,,99,308,1,,,1,,,,,,,
309,,,,,,,99,309,1,,,1,,,,,,,
;,;Empire Tactics,,,,,,99,;,1,,,1,,,,,,,
310,Sigmar's Favor,,,22710,22710,,32,310,1,,,0,,,,,,,
311,Unwavering Faith,,,22710,22710,,32,311,1,,,0,,,,,,,
312,Sigmar's Glory,,,22710,22710,,32,312,1,,,0,,,,,,,
313,Emperor's Ward,,,22710,22710,,32,313,1,,,0,,,,,,,
314,Human Ingenuity,,,22710,22710,,32,314,1,,,0,,,,,,,
;,;Dark Elf healer Keep Lords,,,,,,,,,,,,,,,,,,
315,Impel Agony,,,2497,2497,,99,315,1,,,1,,,,,,,
316,Impose Suffering,,,2497,2497,,99,316,1,,,1,,,,,,,
317,Incite Torment,,,2497,2497,,99,317,1,,,1,,,,,,,
318,Parasitic Aura,,,2497,2497,,99,318,1,,,1,,,,,,,
319,Reclaim Vitae,,,2497,2497,,99,319,1,,,1,,,,,,,
;,,,,,,,,,,,,,,,,,,,
320,,,,,,,99,320,1,,,1,,,,,,,
321,,,,,,,99,321,1,,,1,,,,,,,
322,,,,,,,99,322,1,,,1,,,,,,,
323,,,,,,,99,323,1,,,1,,,,,,,
;,;Dark Elf Fortress Lord,,,,,,,,,,,,,,,,,,
324,Universal Confusion,,,10963,10963,,70,324,1,,,1,,,,,,,
325,,,,,,,99,325,1,,,1,,,,,,,
326,,,,,,,99,326,1,,,1,,,,,,,
327,,,,,,,99,327,1,,,1,,,,,,,
328,,,,,,,99,328,1,,,1,,,,,,,
329,,,,,,,99,329,1,,,1,,,,,,,
;,;Chaos Tactics,,,,,,99,;,1,,,1,,,,,,,
330,Warped Flesh,,,22714,22714,,32,330,1,,,0,,,,,,,
331,Tzeentch's Warding,,,22714,22714,,32,331,1,,,0,,,,,,,
332,Warping The Winds,,,22714,22714,,32,332,1,,,0,,,,,,,
333,Backlash,,,22714,22714,,32,333,1,,,0,,,,,,,
334,Barrier Of Dementia,,,22714,22714,,32,334,1,,,0,,,,,,,
335,,,,,,,99,335,1,,,1,,,,,,,
336,,,,,,,99,336,1,,,1,,,,,,,
337,,,,,,,99,337,1,,,1,,,,,,,
