Effect,Effect,Effect,Effect,Effect,Effect,Track,Track,Track,unused,Projectile,Camera,Root,Projectile,Turn Off,Always,Draw,Realm,Persist,,,,,,,,,,
56,Orc Cast Loop 2,4,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
57,Orc Cast Loop 3,5,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
58,Orc Cast Loop Healing,6,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
59,DeSpell effect,58,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
60,Generic Heal 1,60,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
61,Generic Heal 2,61,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
62,Generic Heal 3,62,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
63,Generic Heal 4,63,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
64,generic buff 1,53,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
65,generic buff 2,54,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
66,generic buff 3,55,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
67,generic buff 4,56,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
68,dwarf build up,69,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
69,Portrait Hit effect,91,fx_head,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
70,vfx_orc_HandCasting,90,fx_mainhand,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
71,vfx_orc_HandCasting,90,fx_offhand,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
72,orc staff cast,3,spell,0,100,1,1,0,,,,2,,,,,,,,,,,,,,,,
73,IronBreaker Morale cast,76,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
74,ground effect for moral cast,77,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
75,engineer Moral cast,78,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
76,Breech flash for gun fireing,79,fx_breech,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
77,muzzel flash for pistol firing,80,fx_muzzle,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
78,muzzel flash for rifle firing,81,fx_muzzle,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
79,Action point debuff,82,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
80,Standard debuff,83,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
81,Morale debuff,84,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
82,Gun impact on Orc,85,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
83,poison debuff,86,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
84,cannon ball morale spell,87,AOE,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
85,magic orc fist pound the ground,88,AOE,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
86,Floating gork head for morale,89,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
87,vfx_orc_HandCasting,90,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
88,Orc Moral,17,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
89,dwarf Morale Damage PBAOE,95,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
90,dwarf Morale Stun PBAOE,96,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
91,Morale arrow barrage,97,AOE,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
92,morale arrow root,98,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
93,orc Waagh spell projectile,99,fx_muzzle,0,100,0,0,0,,2,,,,,,,,,,,,,,,,,,
94,orc waagh spell projectile impact,105,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
95,orc_defence buff,16,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
96,Blue AOE rings morale buff,106,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
97,"dwarf Defence buff, magic shields",107,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
98,Green heal smoke for granade,108,AOE,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
99,Arrow Projectile,109,fx_muzzle,0,100,0,0,0,,11,,,2,,,,,,,,,,,,,,,
100,Yellow AOE ring,110,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
101,Dark AOE cloud,111,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
102,Blue morale build up 1,112,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
103,Blue morale build up 2,113,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
104,Blue morale build up 3,114,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
105,Blue morale build up 4,115,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
106,dwarf grenade projectile,116,fx_mainhand,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
107,Generic armor/defence Debuff,117,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
108,vfx_EART_Impact,118,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
109,IMPACT_AutoAttack,119,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
110,Hit Flash with dirt impact,120,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
111,Hit Flash with blood,121,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
112,Slash With Blood trail,122,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
113,Green Impact w/falling trails,123,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
114,Lingering debuff,124,fx_chest,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
115,Lingering debuff Start,125,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
116,Green AOE wave,126,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
117,Dark  cloud for blind,127,fx_head,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
118,Light in eyes and sparkles /Blind,128,fx_head,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
119,Impact for Melee Debuff,129,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
120,spikey Warrior Build up,130,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
121,Flameing Arrow Projectile,131,fx_muzzle,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
122,Magic arrow Projectile,132,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
123,Flame arrow Impact,133,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
124,Magic arrow impact,134,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
125,Projectile for life drain,135,fx_muzzle,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
126,Build for life drain,136,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
127,Waaagh Root,137,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
128,Waagh Slow (mushrooms),138,AOE,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
129,Waagh Slow Lingering Cloud,139,fx_chest,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
130,vfx_RUNE_FlashRingBreaking_orn,140,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
131,vfx_RUNE_FlashRingStriking_orn,141,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
132,vfx_RUNE_ArcsRingFlakksons_blu,142,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
133,vfx_RUNE_ArcsRingFury_blu,143,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
134,vfx_RUNE_StoneSpellbreaking_blu,144,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
135,vfx_RUNE_BlurInMight_blu,145,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
136,vfx_RUNE_SolarRingSmelting,146,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
137,vfx_RUNE_StoneLife_blu,147,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
138,vfx_ELEC_ArcBall,148,fx_muzzle,0,100,0,0,0,,2,,,,,,,,,,,,,,,,,,
139,vfx_ELEC_ArcFlashSparks,149,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
140,vfx_ELEC_ZapCloud,150,fx_chest,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
141,vfx_LIFE_Resurrect,151,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
155,vfx_Weapontrail_White,72,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
156,vfx_Weapontrail_yellow,73,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
157,vfx_Weapontrail_red,74,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
158,vfx_ELEC_ArcBallFlash,154,fx_muzzle,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
159,Sound Wave effect for Bats,155,fx_mouth,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
160,vfx_ELEC_Lightning,156,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
161,Cone blast of cold ,157,fx_muzzle,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
162,Cone blast of Slime ,158,fx_muzzle,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
163,Cone Cloud of Pioson,159,fx_muzzle,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
164,Projectile for Darkness wind,160,fx_muzzle,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
165,Cone blast of Fire,161,fx_muzzle,0,100,1,1,0,,,,,,,,,,,,,,,,,,,,
166,Soul Leaving a body,162,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
167,small Rock Projectile,163,fx_muzzle,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
168,Root (life magic. Real roots),164,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
169,Roots Retract into ground,165,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
170,Wind & leaves Blow around(AOE Life),166,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
171,Root whip attack (DD life),167,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
172,Placeholder for projectiles,168,fx_muzzle,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
173,Place holder for effects not done,169,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
174,Blue trail,153,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
175,vfx_Weapontrail_purple,71,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
176,vfx_Weapontrail_redBerserk,75,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
177,vfx_EART_Impact2,170,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
178,Stone or Dirt Impact,171,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
179,Wind AE Attack (wing Buffet),172,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
180,Web Glob Projectile,173,fx_muzzle,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
181,Web Impact,174,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
182,Poison Glob Spit from a creature,175,fx_muzzle,0,100,0,1,0,,1,,,,,,,,,,,,,,,,,,
183,Poison Glob Impact,176,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
184,Wall of Fire,177,AOE,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
185,A melee hit from claws,178,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
186,A  white shock  wave on the ground,179,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
187,Tree branch as projectile,180,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
188,Call for help,181,IMPACT_EM_Slash,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
189,Aoe quill attack,182,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
190,BUFF icon for Initiative,183,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
191,BUFF icon for intelligence,184,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
192,BUFF icon for strength,185,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
193,BUFF icon for toughness,186,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
194,BUFF icon for weapon skill,187,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
195,BUFF icon for willpower,188,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
196,BUFF icon for wounds,189,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
197,BUFF icon for agility,190,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
198,BUFF icon for ballistic skill,191,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
199,vfx_ELEC_ArcDisk,192,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
200,deBUFF icon for strength,193,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
201,deBUFF icon for toughness,194,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
202,deBUFF icon for weapon skill,195,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
203,deBUFF icon for willpower,196,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
204,deBUFF icon for wounds,197,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
205,deBUFF icon for agility,198,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
206,deBUFF icon for ballistic skill,199,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
207,deBUFF icon for Initiative,200,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
208,deBUFF icon for intelligence,201,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
209,Multiple impacts hitting a target fast,202,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
210,Bullet for gun Projectile,203,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
211,Aoe cloud of attacking SQUIGS,204,AOE,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
212,vfx_OPTI_3XShockRings1_blu,205,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
213,morale big impact,206,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
214,morale big blood impact,207,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
215,vfx_BUFF_Or_RageGather,208,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
216,vfx_BUFF_Or_WaaaghGather,209,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
217,Webbing root around legs,210,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
218,Swirl of darkness magic,211,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
219,vfx_BUFF_Or_MeleeGather,212,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
220,vfx_BUFF_Dw_MeleeGather,213,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
221,Throwing Axe Projectile,214,fx_mainhand,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
222,Throwing Hammer Projectile,215,fx_mainhand,0,100,0,0,0,,1,,,,,,,,,,,,,,,,,,
223,vfx_STAT_Fear,216,fx_chest,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
224,Spectral Attack Impact,217,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
225,Level Up effect,218,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
226,Cone blast of cold ,157,fx_mouth,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
227,Cone blast of Slime ,158,fx_mouth,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
228,Cone Cloud of Pioson,159,fx_mouth,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
229,Cone blast of Fire,161,fx_mouth,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
230,Cold cloud AOE,219,AOE,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
231,Ice Projectile,220,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
232,Ice Root,221,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
233,Death effect for ghostly undead part1,222,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
234,Death effect for ghostly undead part2,223,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
235,Barrel falls and Beer explodes out,224,aoe,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
236,Death Dot Purple lingering cloud,225,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
237,Spirit attack Swirling trails with impacts,226,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
238,Auto attack impact,227,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
239,"Smoke from fire, small",228,root,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
240,"smoke from fire, big",229,root,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
241,Steam jet,230,fx_muzzel,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
242,Large fire with smoke,231,root,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
243,"small fire, torch size",232,fx_muzzle,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
244,Debuff Impact with purple Sparks,233,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
245,Taunt,234,fx_head,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
246,Red hand glow,235,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
247,Red hand glow,235,fx_offhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
248,yellow hand glow,236,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
249,yellow hand glow,236,fx_offhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
250,purple hand glow,237,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
251,purple hand glow,237,fx_offhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
252,white Flare on weapon,238,Spell,0,100,1,0,0,,,,1,,,,,,,,,,,,,,,,
253,Red Weapon flare,239,Spell,0,100,1,0,0,,,,1,,,,,,,,,,,,,,,,
254,Waagh Big firey glow ,240,fx_torso_NA,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
255,Red eye glow for rage,241,fx_Head,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
256,green eye glow for waagh,242,fx_Head,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
257,waagh glow smaller size,243,fx_torso_NA,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
258,Icon for Armor buff,244,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
259,Aura that goes with aromor icon,245,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
260,Magic resist aura,246,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
261,Rage firey glow off shoulders,247,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
262,Grudge static symbol,248,fx_Head,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
263,vfx_RUNE_HotStrikeGrudge,249,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
264,CTF Red flag holder icon,250,fx_Head_top_NA,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
265,CTF Blue flag holder icon,251,fx_Head_top_NA,-1,100,1,0,0,,,,,,,1,,,,,,,,,,,,,
266,Sparkles for corpse that can be looted,252,chest,-1,100,1,-1,0,,,,,,,1,,,,,,,,,,,,,
267,Med fire with smoke,253,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
268,Streaks out red,254,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
269,streaks up red (1 of 3),255,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
270,animated glow_red(2 of 3),256,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
271,suroundng swils red(3 of 3),257,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
272,purple foot glow,237,fx_foot_R,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
273,purple foot glow,237,fx_foot_L,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
274,Ballistic ground Hit,258,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
